CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\0B_control.FIT
Average of Rows 255 through 259
Column	Value (ADU)
1	6044
2	8153
3	7416
4	5642
5	3620
6	2256
7	1774
8	1597
9	1512
10	1537
11	1661
12	2013
13	1918
14	1616
15	1519
16	1496
17	1625
18	1650
19	1553
20	1570
21	1791
22	1778
23	1718
24	1764
25	1970
26	2768
27	5039
28	8054
29	8064
30	6280
31	4419
32	2895
33	1997
34	1676
35	1575
36	1515
37	1555
38	1712
39	2104
40	2111
41	1710
42	1543
43	1507
44	1616
45	1637
46	1609
47	1550
48	1637
49	1821
50	1779
51	1698
52	1707
53	1889
54	2502
55	4223
56	7508
57	7867
58	7834
59	5813
60	4080
61	2666
62	1938
63	1641
64	1541
65	1470
66	1500
67	1595
68	1904
69	1943
70	1891
71	1610
72	1516
73	1523
74	1642
75	1682
76	1639
77	1540
78	1569
79	1770
80	1783
81	1729
82	1672
83	1724
84	1919
85	2564
86	4177
87	7506
88	9637
89	9019
90	7001
91	5206
92	3599
93	2403
94	1863
95	1595
96	1521
97	1482
98	1483
99	1562
100	1720
101	2174
102	2238
103	1833
104	1576
105	1488
106	1449
107	1583
108	1734
109	1750
110	1606
111	1559
112	1610
113	1856
114	1879
115	1742
116	1673
117	1671
118	1795
119	2000
120	2883
121	4784
122	8313
123	10506
124	9912
125	8000
126	6114
127	4579
128	3150
129	2237
130	1824
131	1632
132	1530
133	1463
134	1455
135	1465
136	1558
137	1766
138	2269
139	2342
140	1897
141	1624
142	1470
143	1447
144	1470
145	1601
146	1755
147	1752
148	1668
149	1562
150	1574
151	1678
152	1934
153	1939
154	1794
155	1699
156	1663
157	1698
158	1781
159	1987
160	2653
161	4274
162	7017
163	10703
164	10789
165	10650
166	8641
167	6834
168	5401
169	3990
170	2798
171	2112
172	1771
173	1631
174	1527
175	1474
176	1484
177	1462
178	1480
179	1525
180	1649
181	1962
182	2498
183	2519
184	2064
185	1696
186	1532
187	1463
188	1474
189	1490
190	1565
191	1758
192	1867
193	1834
194	1684
195	1531
196	1500
197	1510
198	1659
199	1977
200	2001
201	1902
202	1783
203	1701
204	1654
205	1655
206	1700
207	1793
208	1899
209	2287
210	3150
211	4833
212	7252
213	10954
214	12876
215	12405
216	11515
217	9757
218	8031
219	6587
220	5476
221	4342
222	3244
223	2417
224	1975
225	1728
226	1630
227	1566
228	1511
229	1476
230	1474
231	1446
232	1436
233	1448
234	1499
235	1540
236	1626
237	1813
238	2178
239	2739
240	2724
241	2553
242	2081
243	1758
244	1587
245	1504
246	1453
247	1413
248	1428
249	1445
250	1495
251	1605
252	1750
253	1902
254	1928
255	1917
256	1772
257	1639
258	1544
259	1509
260	1531
261	1548
262	1648
263	1775
264	2047
265	2279
266	2289
267	2067
268	1882
269	1775
270	1751
271	1731
272	1667
273	1635
274	1649
275	1670
276	1754
277	1804
278	1810
279	1908
280	1985
281	2224
282	2625
283	3338
284	4345
285	5603
286	7093
287	9239
288	12067
289	14349
290	14544
291	14503
292	13676
293	12979
294	12434
295	11490
296	10073
297	8927
298	8101
299	7282
300	6589
301	6086
302	5634
303	5146
304	4442
305	3755
306	3138
307	2634
308	2283
309	2048
310	1890
311	1812
312	1712
313	1653
314	1622
315	1592
316	1566
317	1556
318	1568
319	1567
320	1572
321	1577
322	1558
323	1539
324	1522
325	1537
326	1496
327	1457
328	1464
329	1442
330	1444
331	1425
332	1443
333	1441
334	1432
335	1451
336	1438
337	1457
338	1483
339	1488
340	1492
341	1503
342	1503
343	1503
344	1531
345	1537
346	1544
347	1573
348	1601
349	1624
350	1693
351	1752
352	1804
353	1873
354	1952
355	2048
356	2117
357	2203
358	2265
359	2402
360	2437
361	2509
362	2643
363	2706
364	2809
365	2905
366	2951
367	3018
368	3074
369	3108
370	3173
371	3211
372	3241
373	3251
374	3286
375	3317
376	3302
377	3276
378	3256
379	3284
380	3293
381	3290
382	3270
383	3236
384	3223
385	3208
386	3189
387	3143
388	3140
389	3084
390	3048
391	2979
392	2942
393	2868
394	2747
395	2629
396	2577
397	2449
398	2314
399	2176
400	2075
401	1975
402	1901
403	1838
404	1795
405	1729
406	1700
407	1634
408	1620
409	1566
410	1568
411	1569
412	1539
413	1543
414	1523
415	1513
416	1492
417	1480
418	1463
419	1455
420	1449
421	1432
422	1438
423	1436
424	1427
425	1428
426	1425
427	1431
428	1436
429	1440
430	1439
431	1460
432	1445
433	1455
434	1491
435	1504
436	1531
437	1562
438	1586
439	1618
440	1643
441	1686
442	1709
443	1746
444	1792
445	1827
446	1929
447	2048
448	2261
449	2549
450	2938
451	3597
452	4251
453	4927
454	5383
455	5759
456	6334
457	6932
458	7698
459	8576
460	9767
461	11059
462	12053
463	12485
464	13113
465	14185
466	14308
467	14197
468	11891
469	9179
470	7066
471	5624
472	4341
473	3362
474	2659
475	2232
476	1996
477	1903
478	1826
479	1835
480	1759
481	1702
482	1623
483	1640
484	1685
485	1693
486	1734
487	1733
488	1837
489	2017
490	2163
491	2142
492	1946
493	1702
494	1549
495	1471
496	1460
497	1488
498	1530
499	1634
500	1770
501	1891
502	1934
503	1911
504	1803
505	1665
506	1578
507	1545
508	1496
509	1494
510	1495
511	1521
512	1563
513	1727
514	2040
515	2514
516	2593
517	2569
518	2091
519	1760
520	1575
521	1523
522	1461
523	1430
524	1421
525	1454
526	1455
527	1482
528	1497
529	1545
530	1606
531	1702
532	1890
533	2306
534	3041
535	4021
536	4949
537	5941
538	7309
539	8840
540	10230
541	11262
542	11504
543	9704
544	6940
545	4545
546	3042
547	2241
548	1921
549	1805
550	1710
551	1637
552	1645
553	1666
554	1726
555	1863
556	1885
557	1873
558	1647
559	1499
560	1439
561	1481
562	1590
563	1721
564	1700
565	1633
566	1506
567	1425
568	1387
569	1414
570	1461
571	1629
572	2022
573	2318
574	2315
575	1950
576	1609
577	1495
578	1442
579	1444
580	1442
581	1462
582	1508
583	1562
584	1662
585	1937
586	2577
587	3519
588	4662
589	5958
590	7665
591	9373
592	9390
593	9109
594	6404
595	3896
596	2532
597	1997
598	1807
599	1673
600	1632
601	1622
602	1740
603	1807
604	1812
605	1635
606	1470
607	1466
608	1554
609	1626
610	1631
611	1531
612	1428
613	1408
614	1438
615	1548
616	1872
617	2201
618	2075
619	1761
620	1522
621	1440
622	1437
623	1456
624	1482
625	1527
626	1662
627	2022
628	2829
629	3963
630	5307
631	7001
632	8666
633	8992
634	7134
635	4400
636	2655
637	1952
638	1743
639	1619
640	1625
641	1708
642	1757
643	1735
644	1574
645	1467
646	1513
647	1607
648	1637
649	1510
650	1417
651	1405
652	1475
653	1742
654	2056
655	1966
656	1672
657	1461
658	1432
659	1442
660	1471
661	1551
662	1690
663	2186
664	3160
665	4530
666	6195
667	7967
668	8275
669	6386
670	3845
671	2314
672	1787
673	1643
674	1613
675	1665
676	1681
677	1676
678	1502
679	1466
680	1567
681	1607
682	1520
683	1422
684	1427
685	1498
686	1826
687	1833
688	1797
689	1533
690	1442
691	1438
692	1487
693	1542
694	1803
695	2473
696	3637
697	5215
698	7000
699	6815
700	6272
701	3806
702	2240
703	1738
704	1642
705	1608
706	1678
707	1706
708	1545
709	1471
710	1519
711	1530
712	1490
713	1429
714	1414
715	1601
716	1894
717	1839
718	1600
719	1454
720	1429
721	1459
722	1578
723	1871
724	2604
725	3939
726	5663
727	7211
728	6691
729	4442
730	2534
731	1799
732	1670
733	1667
734	1705
735	1695
736	1570
737	1522
738	1574
739	1574
740	1472
741	1448
742	1583
743	1842
744	1848
745	1607
746	1436
747	1441
748	1471
749	1633
750	2107
751	3108
752	4711
753	6403
754	6605
755	4744
756	2684
757	1804
758	1644
759	1614
760	1618
761	1599
762	1497
763	1521
764	1541
765	1521
