CCDOps Exported Profile Report
Image: 
Average of Rows 236 through 262
Column	Value (ADU)
1	1289
2	1285
3	1281
4	1267
5	1264
6	1255
7	1258
8	1260
9	1258
10	1272
11	1275
12	1285
13	1296
14	1321
15	1404
16	1532
17	1691
18	1754
19	1707
20	1586
21	1454
22	1353
23	1289
24	1260
25	1247
26	1251
27	1261
28	1271
29	1279
30	1274
31	1253
32	1254
33	1253
34	1251
35	1255
36	1257
37	1256
38	1267
39	1266
40	1266
41	1273
42	1299
43	1361
44	1474
45	1626
46	1773
47	1792
48	1690
49	1554
50	1435
51	1335
52	1282
53	1257
54	1245
55	1238
56	1244
57	1257
58	1280
59	1271
60	1271
61	1246
62	1243
63	1243
64	1237
65	1249
66	1250
67	1245
68	1253
69	1254
70	1269
71	1263
72	1271
73	1299
74	1343
75	1449
76	1613
77	1791
78	1852
79	1799
80	1671
81	1525
82	1403
83	1312
84	1266
85	1245
86	1239
87	1231
88	1235
89	1242
90	1271
91	1278
92	1272
93	1262
94	1243
95	1240
96	1238
97	1243
98	1245
99	1244
100	1247
101	1244
102	1312
103	1261
104	1258
105	1261
106	1261
107	1282
108	1297
109	1357
110	1484
111	1664
112	1846
113	1929
114	1880
115	1748
116	1602
117	1465
118	1371
119	1296
120	1254
121	1239
122	1229
123	1224
124	1227
125	1237
126	1256
127	1272
128	1282
129	1277
130	1260
131	1246
132	1227
133	1224
134	1228
135	1242
136	1245
137	1252
138	1238
139	1238
140	1238
141	1250
142	1256
143	1259
144	1257
145	1255
146	1267
147	1269
148	1299
149	1354
150	1462
151	1667
152	1861
153	2021
154	2063
155	1963
156	1811
157	1658
158	1537
159	1418
160	1326
161	1275
162	1251
163	1231
164	1229
165	1227
166	1225
167	1220
168	1232
169	1235
170	1262
171	1288
172	1289
173	1287
174	1270
175	1243
176	1228
177	1219
178	1222
179	1226
180	1232
181	1242
182	1249
183	1248
184	1237
185	1226
186	1233
187	1240
188	1254
189	1262
190	1263
191	1256
192	1246
193	1244
194	1250
195	1253
196	1264
197	1290
198	1343
199	1428
200	1579
201	1778
202	2010
203	2156
204	2190
205	2136
206	2005
207	1851
208	1724
209	1609
210	1502
211	1402
212	1327
213	1271
214	1246
215	1224
216	1225
