CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\90Run10imgae.FIT
Average of Rows 239 through 265
Column	Value (ADU)
1	1356
2	1331
3	1331
4	1332
5	1333
6	1330
7	1326
8	1318
9	1314
10	1318
11	1330
12	1340
13	1363
14	1393
15	1417
16	1435
17	1491
18	1551
19	1563
20	1533
21	1475
22	1426
23	1420
24	1400
25	1368
26	1349
27	1342
28	1333
29	1330
30	1320
31	1315
32	1318
33	1323
34	1323
35	1322
36	1313
37	1311
38	1314
39	1322
40	1334
41	1365
42	1393
43	1415
44	1424
45	1456
46	1532
47	1579
48	1568
49	1522
50	1467
51	1432
52	1419
53	1402
54	1369
55	1341
56	1333
57	1334
58	1322
59	1323
60	1319
61	1306
62	1306
63	1324
64	1321
65	1317
66	1310
67	1305
68	1309
69	1303
70	1316
71	1338
72	1369
73	1405
74	1409
75	1415
76	1455
77	1528
78	1595
79	1599
80	1579
81	1517
82	1450
83	1431
84	1415
85	1404
86	1373
87	1359
88	1337
89	1325
90	1326
91	1318
92	1316
93	1306
94	1306
95	1308
96	1319
97	1326
98	1325
99	1305
100	1310
101	1295
102	1366
103	1306
104	1309
105	1334
106	1369
107	1397
108	1402
109	1406
110	1426
111	1467
112	1546
113	1620
114	1644
115	1592
116	1547
117	1488
118	1453
119	1430
120	1421
121	1406
122	1382
123	1352
124	1333
125	1330
126	1330
127	1327
128	1328
129	1315
130	1313
131	1306
132	1307
133	1314
134	1329
135	1331
136	1316
137	1306
138	1312
139	1310
140	1303
141	1302
142	1307
143	1320
144	1330
145	1364
146	1397
147	1415
148	1419
149	1422
150	1423
151	1464
152	1539
153	1629
154	1685
155	1685
156	1647
157	1578
158	1525
159	1468
160	1447
161	1436
162	1451
163	1436
164	1410
165	1371
166	1355
167	1343
168	1334
169	1337
170	1329
171	1323
172	1325
173	1321
174	1306
175	1307
176	1304
177	1308
178	1317
179	1339
180	1341
181	1340
182	1321
183	1313
184	1301
185	1313
186	1314
187	1297
188	1302
189	1300
190	1312
191	1326
192	1351
193	1367
194	1402
195	1437
196	1433
197	1439
198	1434
199	1419
200	1433
201	1494
202	1590
203	1687
204	1743
205	1752
206	1713
207	1667
208	1610
209	1558
210	1516
211	1467
212	1437
213	1437
214	1467
215	1462
216	1446
217	1443
218	1392
219	1368
220	1358
221	1346
222	1330
223	1329
224	1327
225	1337
226	1340
227	1331
228	1332
229	1319
230	1315
231	1313
232	1305
233	1296
234	1295
235	1298
236	1307
237	1324
238	1325
239	1340
240	1358
241	1340
242	1323
243	1313
244	1311
245	1302
246	1311
247	1308
248	1319
249	1315
250	1310
251	1308
252	1301
253	1292
254	1300
255	1309
256	1309
257	1330
258	1350
259	1366
260	1381
261	1420
262	1446
263	1460
264	1452
265	1451
266	1447
267	1438
268	1425
269	1408
270	1396
271	1413
272	1451
273	1514
274	1579
275	1650
276	1710
277	1786
278	1827
279	1838
280	1791
281	1770
282	1751
283	1699
284	1669
285	1630
286	1614
287	1596
288	1564
289	1541
290	1496
291	1457
292	1440
293	1419
294	1418
295	1442
296	1464
297	1487
298	1496
299	1489
300	1486
301	1481
302	1481
303	1467
304	1451
305	1430
306	1393
307	1374
308	1370
309	1360
310	1365
311	1343
312	1340
313	1345
314	1343
315	1341
316	1329
317	1323
318	1313
319	1315
320	1322
321	1328
322	1330
323	1339
324	1346
325	1347
326	1345
327	1334
328	1344
329	1336
330	1334
331	1332
332	1339
333	1321
334	1322
335	1327
336	1325
337	1325
338	1312
339	1310
340	1314
341	1307
342	1312
343	1301
344	1299
345	1308
346	1307
347	1306
348	1306
349	1307
350	1307
351	1314
352	1302
353	1303
354	1310
355	1308
356	1303
357	1308
358	1305
359	1304
360	1304
361	1300
362	1298
363	1293
364	1300
365	1295
366	1301
367	1290
368	1286
369	1298
370	1296
371	1295
372	1294
373	1287
374	1296
375	1295
376	1293
377	1290
378	1293
379	1297
380	1302
381	1298
382	1300
383	1312
384	1299
385	1298
386	1306
387	1300
388	1300
389	1311
390	1305
391	1308
392	1304
393	1308
394	1302
395	1306
396	1296
397	1303
398	1299
399	1303
400	1308
401	1306
402	1300
403	1307
404	1306
405	1307
406	1313
407	1359
408	1316
409	1323
410	1330
411	1326
412	1328
413	1334
414	1339
415	1336
416	1332
417	1334
418	1330
419	1340
420	1330
421	1321
422	1315
423	1308
424	1313
425	1322
426	1318
427	1318
428	1318
429	1325
430	1338
431	1330
432	1329
433	1345
434	1345
435	1361
436	1376
437	1399
438	1427
439	1432
440	1443
441	1443
442	1441
443	1453
444	1466
445	1456
446	1423
447	1410
448	1397
449	1395
450	1396
451	1419
452	1463
453	1487
454	1517
455	1528
456	1557
457	1580
458	1607
459	1639
460	1684
461	1695
462	1732
463	1757
464	1740
465	1717
466	1665
467	1621
468	1563
469	1501
470	1446
471	1425
472	1397
473	1399
474	1396
475	1408
476	1406
477	1410
478	1407
479	1406
480	1396
481	1373
482	1348
483	1328
484	1309
485	1308
486	1291
487	1279
488	1277
489	1284
490	1279
491	1277
492	1280
493	1275
494	1297
495	1287
496	1284
497	1278
498	1287
499	1289
500	1292
501	1305
502	1306
503	1301
504	1298
505	1283
506	1287
507	1277
508	1275
509	1270
510	1264
511	1268
512	1279
513	1273
514	1286
515	1291
516	1300
517	1296
518	1293
519	1299
520	1295
521	1298
522	1312
523	1312
524	1338
525	1358
526	1380
527	1399
528	1389
529	1381
530	1371
531	1389
532	1428
533	1454
534	1492
535	1541
536	1580
537	1617
538	1617
539	1598
540	1532
541	1477
542	1420
543	1398
544	1382
545	1376
546	1378
547	1364
548	1351
549	1321
550	1304
551	1277
552	1284
553	1270
554	1274
555	1267
556	1268
557	1270
558	1270
559	1273
560	1276
561	1277
562	1276
563	1282
564	1278
565	1268
566	1261
567	1261
568	1255
569	1269
570	1270
571	1269
572	1279
573	1287
574	1279
575	1285
576	1291
577	1303
578	1329
579	1348
580	1361
581	1358
582	1362
583	1364
584	1391
585	1441
586	1489
587	1534
588	1558
589	1531
590	1490
591	1437
592	1390
593	1374
594	1364
595	1351
596	1334
597	1314
598	1289
599	1279
600	1261
601	1271
602	1257
603	1265
604	1258
605	1263
606	1266
607	1273
608	1274
609	1271
610	1265
611	1260
612	1246
613	1262
614	1259
615	1265
616	1268
617	1278
618	1285
619	1294
620	1305
621	1321
622	1334
623	1347
624	1350
625	1366
626	1407
627	1453
628	1495
629	1499
630	1483
631	1430
632	1391
633	1363
634	1352
635	1329
636	1309
637	1296
638	1272
639	1265
640	1261
641	1258
642	1256
643	1261
644	1266
645	1265
646	1266
647	1258
648	1251
649	1244
650	1256
651	1268
652	1267
653	1259
654	1263
655	1269
656	1279
657	1312
