CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\90Run11image.JPG
Average of Rows 239 through 265
Column	Value (ADU)
1	1345
2	1344
3	1341
4	1332
5	1341
6	1336
7	1326
8	1325
9	1311
10	1320
11	1321
12	1341
13	1362
14	1387
15	1398
16	1430
17	1482
18	1543
19	1565
20	1519
21	1471
22	1429
23	1407
24	1397
25	1375
26	1350
27	1335
28	1330
29	1338
30	1317
31	1323
32	1327
33	1323
34	1327
35	1327
36	1318
37	1313
38	1326
39	1319
40	1338
41	1360
42	1389
43	1404
44	1415
45	1456
46	1525
47	1568
48	1571
49	1519
50	1466
51	1423
52	1421
53	1405
54	1378
55	1352
56	1333
57	1331
58	1333
59	1319
60	1321
61	1312
62	1308
63	1317
64	1324
65	1319
66	1314
67	1317
68	1305
69	1308
70	1320
71	1337
72	1367
73	1392
74	1401
75	1415
76	1442
77	1517
78	1593
79	1596
80	1571
81	1506
82	1445
83	1429
84	1416
85	1402
86	1383
87	1359
88	1333
89	1317
90	1324
91	1325
92	1317
93	1315
94	1305
95	1306
96	1315
97	1328
98	1333
99	1318
100	1312
101	1309
102	1370
103	1302
104	1312
105	1333
106	1368
107	1392
108	1396
109	1402
110	1425
111	1453
112	1529
113	1618
114	1627
115	1601
116	1534
117	1483
118	1440
119	1422
120	1420
121	1416
122	1394
123	1358
124	1343
125	1324
126	1329
127	1328
128	1329
129	1319
130	1316
131	1305
132	1308
133	1313
134	1324
135	1327
136	1332
137	1323
138	1318
139	1307
140	1298
141	1308
142	1300
143	1309
144	1336
145	1364
146	1392
147	1408
148	1417
149	1415
150	1423
151	1453
152	1525
153	1612
154	1669
155	1681
156	1639
157	1572
158	1523
159	1472
160	1433
161	1427
162	1439
163	1436
164	1415
165	1381
166	1363
167	1341
168	1321
169	1321
170	1326
171	1333
172	1331
173	1325
174	1312
175	1309
176	1302
177	1306
178	1311
179	1333
180	1335
181	1336
182	1326
183	1326
184	1319
185	1316
186	1319
187	1307
188	1305
189	1303
190	1310
191	1327
192	1352
193	1374
194	1408
195	1425
196	1430
197	1428
198	1421
199	1419
200	1430
201	1486
202	1575
203	1670
204	1736
205	1739
206	1715
207	1657
208	1609
209	1565
210	1500
211	1465
212	1431
213	1428
214	1444
215	1461
216	1456
217	1441
218	1408
219	1384
220	1365
221	1346
222	1322
223	1318
224	1322
225	1336
226	1344
227	1337
228	1329
229	1331
230	1321
231	1322
232	1311
233	1304
234	1300
235	1296
236	1304
237	1319
238	1333
239	1335
240	1347
241	1346
242	1342
243	1322
244	1311
245	1311
246	1318
247	1313
248	1314
249	1312
250	1301
251	1299
252	1301
253	1297
254	1301
255	1304
256	1311
257	1342
258	1352
259	1364
260	1392
261	1423
262	1453
263	1451
264	1437
265	1437
266	1439
267	1429
268	1413
269	1404
270	1401
271	1409
272	1443
273	1501
274	1578
275	1642
276	1698
277	1774
278	1812
279	1821
280	1806
281	1762
282	1735
283	1698
284	1662
285	1626
286	1607
287	1591
288	1562
289	1535
290	1489
291	1462
292	1429
293	1409
294	1410
295	1418
296	1436
297	1469
298	1494
299	1493
300	1484
301	1476
302	1472
303	1475
304	1468
305	1445
306	1414
307	1395
308	1379
309	1367
310	1377
311	1361
312	1355
313	1351
314	1341
315	1342
316	1318
317	1311
318	1305
319	1304
320	1299
321	1311
322	1313
323	1325
324	1333
325	1337
326	1341
327	1338
328	1342
329	1339
330	1336
331	1347
332	1336
333	1336
334	1334
335	1337
336	1333
337	1327
338	1324
339	1323
340	1318
341	1316
342	1304
343	1311
344	1316
345	1312
346	1318
347	1308
348	1313
349	1316
350	1311
351	1319
352	1317
353	1313
354	1312
355	1311
356	1305
357	1303
358	1308
359	1302
360	1303
361	1303
362	1301
363	1298
364	1299
365	1297
366	1299
367	1295
368	1294
369	1301
370	1289
371	1302
372	1300
373	1299
374	1292
375	1300
376	1297
377	1301
378	1299
379	1302
380	1310
381	1302
382	1307
383	1309
384	1307
385	1305
386	1311
387	1300
388	1312
389	1314
390	1311
391	1314
392	1313
393	1311
394	1319
395	1318
396	1312
397	1318
398	1313
399	1310
400	1311
401	1306
402	1309
403	1315
404	1318
405	1324
406	1322
407	1375
408	1335
409	1333
410	1324
411	1328
412	1330
413	1328
414	1325
415	1337
416	1332
417	1334
418	1325
419	1318
420	1317
421	1298
422	1299
423	1301
424	1301
425	1308
426	1313
427	1322
428	1321
429	1330
430	1337
431	1345
432	1346
433	1354
434	1365
435	1373
436	1398
437	1414
438	1434
439	1438
440	1442
441	1442
442	1447
443	1459
444	1440
445	1436
446	1406
447	1396
448	1384
449	1388
450	1398
451	1423
452	1439
453	1480
454	1513
455	1534
456	1551
457	1569
458	1602
459	1623
460	1663
461	1686
462	1722
463	1740
464	1730
465	1702
466	1658
467	1609
468	1548
469	1492
470	1449
471	1413
472	1394
473	1392
474	1394
475	1390
476	1396
477	1396
478	1398
479	1401
480	1398
481	1380
482	1351
483	1331
484	1328
485	1309
486	1295
487	1281
488	1280
489	1274
490	1272
491	1273
492	1279
493	1281
494	1295
495	1286
496	1285
497	1287
498	1288
499	1296
500	1293
501	1305
502	1311
503	1296
504	1298
505	1284
506	1282
507	1274
508	1274
509	1268
510	1276
511	1279
512	1284
513	1281
514	1294
515	1297
516	1301
517	1291
518	1286
519	1296
520	1289
521	1298
522	1307
523	1325
524	1346
525	1370
526	1375
527	1388
528	1379
529	1370
530	1371
531	1382
532	1414
533	1454
534	1498
535	1529
536	1579
537	1603
538	1619
539	1580
540	1531
541	1457
542	1417
543	1385
544	1376
545	1368
546	1362
547	1363
548	1350
549	1330
550	1307
551	1283
552	1277
553	1270
554	1262
555	1272
556	1267
557	1274
558	1278
559	1274
560	1271
561	1288
562	1283
563	1284
564	1274
565	1267
566	1261
567	1259
568	1259
569	1269
570	1279
571	1275
572	1282
573	1284
574	1271
575	1279
576	1292
577	1307
578	1335
579	1348
580	1358
581	1355
582	1349
583	1362
584	1394
585	1436
586	1481
587	1529
588	1543
589	1527
590	1486
591	1428
592	1385
593	1360
594	1359
595	1346
596	1332
597	1312
598	1298
599	1274
600	1266
601	1275
602	1261
603	1263
604	1265
605	1266
606	1275
607	1278
608	1272
609	1265
610	1263
611	1249
612	1251
613	1255
614	1270
615	1277
616	1263
617	1273
618	1275
619	1294
620	1306
621	1326
622	1339
623	1340
624	1350
625	1361
626	1413
627	1454
628	1493
629	1508
630	1478
631	1428
632	1383
633	1349
634	1339
635	1335
636	1307
637	1292
638	1276
639	1266
640	1262
641	1258
642	1262
643	1261
644	1264
645	1275
646	1261
647	1264
648	1254
649	1250
650	1264
651	1261
652	1267
653	1256
654	1268
655	1275
656	1289
657	1308
658	1325
659	1332
660	1335
661	1357
662	1412
663	1439
664	1479
665	1460
666	1414
667	1372
668	1353
669	1332
670	1311
671	1286
672	1266
673	1259
674	1253
675	1250
676	1260
677	1262
678	1271
679	1259
680	1254
681	1252
682	1252
683	1248
684	1260
685	1265
686	1261
687	1267
688	1287
689	1303
690	1311
691	1329
692	1339
693	1369
694	1410
695	1438
696	1447
697	1409
698	1368
699	1342
700	1324
701	1301
702	1285
703	1258
704	1256
705	1249
706	1253
707	1253
708	1265
709	1258
710	1249
711	1247
712	1253
713	1251
714	1256
715	1261
716	1258
717	1275
718	1293
