CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\180BRun1.JPG
Average of Rows 236 through 262
Column	Value (ADU)
1	1267
2	1262
3	1262
4	1260
5	1265
6	1264
7	1257
8	1262
9	1254
10	1263
11	1267
12	1293
13	1333
14	1400
15	1459
16	1501
17	1521
18	1537
19	1550
20	1531
21	1477
22	1405
23	1348
24	1303
25	1277
26	1264
27	1258
28	1254
29	1253
30	1254
31	1257
32	1263
33	1252
34	1253
35	1249
36	1253
37	1255
38	1261
39	1266
40	1280
41	1319
42	1371
43	1445
44	1496
45	1527
46	1544
47	1560
48	1552
49	1517
50	1477
51	1403
52	1348
53	1307
54	1271
55	1255
56	1249
57	1255
58	1253
59	1249
60	1253
61	1245
62	1251
63	1242
64	1243
65	1249
66	1246
67	1244
68	1246
69	1243
70	1267
71	1281
72	1317
73	1382
74	1444
75	1511
76	1536
77	1553
78	1564
79	1571
80	1568
81	1536
82	1475
83	1400
84	1331
85	1288
86	1263
87	1258
88	1250
89	1243
90	1247
91	1236
92	1244
93	1248
94	1241
95	1241
96	1245
97	1246
98	1243
99	1244
100	1241
101	1244
102	1313
103	1246
104	1255
105	1270
106	1303
107	1353
108	1411
109	1487
110	1555
111	1553
112	1563
113	1573
114	1586
115	1596
116	1575
117	1521
118	1458
119	1392
120	1333
121	1287
122	1257
123	1253
124	1245
125	1242
126	1240
127	1246
128	1242
129	1232
130	1238
131	1233
132	1239
133	1240
134	1238
135	1237
136	1236
137	1236
138	1237
139	1242
140	1236
141	1239
142	1247
143	1259
144	1259
145	1282
146	1321
147	1368
148	1447
149	1527
150	1587
151	1597
152	1601
153	1595
154	1615
155	1627
156	1650
157	1632
158	1584
159	1520
160	1452
161	1382
162	1330
163	1284
164	1262
165	1247
166	1252
167	1240
168	1247
169	1235
170	1232
171	1241
172	1234
173	1241
174	1234
175	1232
176	1238
177	1240
178	1235
179	1245
180	1235
181	1233
182	1229
183	1241
184	1235
185	1239
186	1239
187	1227
188	1239
189	1239
190	1234
191	1250
192	1259
193	1273
194	1303
195	1349
196	1418
197	1495
198	1566
199	1624
200	1637
201	1616
202	1619
203	1615
204	1630
205	1646
206	1675
207	1682
208	1691
209	1646
210	1595
211	1539
212	1484
213	1411
214	1368
215	1319
216	1274
217	1257
218	1240
219	1238
220	1240
221	1235
222	1244
223	1250
224	1230
225	1225
226	1232
227	1226
228	1230
229	1236
230	1232
231	1240
232	1222
233	1223
234	1227
235	1237
236	1238
237	1246
238	1236
239	1232
240	1237
241	1224
242	1229
243	1228
244	1221
245	1234
246	1235
247	1229
248	1235
249	1230
250	1225
251	1230
252	1226
253	1230
254	1235
255	1241
256	1236
257	1245
258	1249
259	1244
260	1262
261	1280
262	1320
263	1353
264	1388
265	1429
266	1493
267	1552
268	1599
269	1660
270	1681
271	1670
272	1625
273	1626
274	1642
275	1640
276	1628
277	1640
278	1639
279	1635
280	1655
281	1685
282	1700
283	1728
284	1765
285	1756
286	1722
287	1698
288	1672
289	1649
290	1599
291	1558
292	1523
293	1489
294	1471
295	1439
296	1407
297	1391
298	1366
299	1334
300	1306
301	1277
302	1256
303	1256
304	1244
305	1236
306	1237
307	1238
308	1238
309	1232
310	1243
311	1231
312	1226
313	1225
314	1224
315	1234
316	1233
317	1255
318	1253
319	1250
320	1241
321	1244
322	1226
323	1225
324	1226
325	1217
326	1216
327	1218
328	1215
329	1219
330	1217
331	1221
332	1218
333	1218
334	1226
335	1220
336	1226
337	1229
338	1231
339	1224
340	1231
