CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\90BRun1image.JPG
Average of Rows 237 through 263
Column	Value (ADU)
1	1261
2	1250
3	1250
4	1252
5	1252
6	1250
7	1242
8	1248
9	1248
10	1257
11	1280
12	1296
13	1349
14	1421
15	1491
16	1556
17	1610
18	1622
19	1609
20	1542
21	1451
22	1358
23	1306
24	1272
25	1247
26	1246
27	1237
28	1246
29	1248
30	1244
31	1238
32	1242
33	1243
34	1241
35	1234
36	1247
37	1241
38	1252
39	1263
40	1280
41	1329
42	1395
43	1479
44	1544
45	1599
46	1631
47	1632
48	1608
49	1536
50	1444
51	1369
52	1305
53	1266
54	1247
55	1235
56	1235
57	1238
58	1238
59	1246
60	1238
61	1239
62	1238
63	1237
64	1232
65	1232
66	1233
67	1238
68	1234
69	1240
70	1263
71	1285
72	1326
73	1405
74	1483
75	1545
76	1596
77	1648
78	1665
79	1666
80	1621
81	1534
82	1435
83	1363
84	1306
85	1255
86	1241
87	1236
88	1237
89	1228
90	1243
91	1231
92	1236
93	1238
94	1231
95	1222
96	1224
97	1228
98	1233
99	1230
100	1234
101	1230
102	1307
103	1236
104	1253
105	1275
106	1313
107	1370
108	1440
109	1515
110	1588
111	1636
112	1674
113	1699
114	1700
115	1664
116	1603
117	1524
118	1419
119	1345
120	1290
121	1258
122	1235
123	1222
124	1227
125	1234
126	1237
127	1235
128	1236
129	1229
130	1231
131	1229
132	1229
133	1224
134	1225
135	1229
136	1226
137	1225
138	1223
139	1232
140	1237
141	1228
142	1235
143	1249
144	1260
145	1277
146	1319
147	1386
148	1474
149	1552
150	1606
151	1647
152	1689
153	1730
154	1753
155	1755
156	1737
157	1671
158	1600
159	1504
160	1415
161	1348
162	1286
163	1258
164	1238
165	1225
166	1234
167	1229
168	1228
169	1222
170	1231
171	1236
172	1237
173	1229
174	1222
175	1225
176	1228
177	1229
178	1221
179	1223
180	1225
181	1227
182	1223
183	1224
184	1224
185	1228
186	1231
187	1220
188	1227
189	1235
190	1242
191	1244
192	1249
193	1276
194	1314
195	1367
196	1421
197	1502
198	1560
199	1623
200	1662
201	1700
202	1741
203	1774
204	1789
205	1807
206	1820
207	1800
208	1752
209	1687
210	1603
211	1517
212	1444
213	1383
214	1330
215	1281
216	1244
217	1237
218	1221
219	1226
220	1223
221	1219
222	1233
223	1225
224	1218
225	1219
226	1230
227	1227
228	1237
229	1238
230	1237
231	1230
232	1220
233	1217
234	1219
235	1229
236	1223
237	1224
238	1221
239	1215
240	1227
241	1213
242	1214
243	1219
244	1221
245	1223
246	1231
247	1223
248	1220
249	1221
250	1220
251	1224
252	1221
253	1226
254	1227
255	1236
256	1227
257	1228
258	1232
259	1251
260	1259
261	1281
262	1310
263	1348
264	1377
265	1433
266	1489
267	1544
268	1603
269	1635
270	1658
271	1661
272	1682
273	1717
274	1747
275	1781
276	1810
277	1824
278	1819
279	1808
280	1830
281	1855
282	1856
283	1868
284	1877
285	1848
286	1798
287	1778
288	1742
289	1687
290	1624
291	1581
292	1530
293	1482
294	1446
295	1427
296	1393
297	1378
298	1349
299	1312
300	1278
301	1260
302	1242
303	1228
304	1227
305	1227
306	1220
307	1224
308	1215
309	1213
310	1223
311	1209
312	1207
313	1208
314	1209
315	1221
316	1222
317	1233
318	1237
319	1230
320	1219
321	1211
322	1208
323	1206
324	1210
325	1206
326	1205
327	1210
328	1217
329	1216
330	1219
331	1227
332	1228
333	1222
334	1227
335	1227
336	1225
337	1231
338	1231
339	1224
340	1233
341	1230
342	1242
343	1234
344	1237
345	1238
346	1234
347	1230
348	1230
349	1227
350	1231
351	1237
352	1231
353	1223
354	1221
355	1227
356	1219
357	1220
358	1221
359	1210
360	1215
361	1211
362	1204
363	1204
364	1209
365	1204
366	1205
367	1205
368	1204
369	1204
370	1204
371	1205
372	1210
373	1206
374	1202
375	1202
376	1209
377	1207
378	1205
379	1215
380	1217
381	1214
382	1214
383	1222
384	1219
385	1219
386	1223
387	1229
388	1240
389	1230
390	1230
391	1238
392	1230
393	1233
394	1223
395	1229
396	1232
397	1236
398	1225
399	1221
400	1229
401	1227
402	1216
403	1226
404	1224
405	1224
406	1223
407	1261
408	1227
409	1217
410	1217
411	1211
412	1212
413	1216
414	1199
415	1204
416	1207
417	1200
418	1207
419	1215
420	1217
421	1226
422	1227
423	1217
424	1215
425	1209
426	1215
427	1197
428	1195
429	1204
430	1210
431	1211
432	1208
433	1206
434	1210
435	1209
436	1222
437	1221
438	1239
439	1250
440	1270
441	1291
442	1323
443	1346
444	1365
445	1386
446	1420
447	1447
448	1479
449	1521
450	1567
451	1607
452	1645
453	1679
454	1709
455	1739
456	1752
457	1741
458	1743
459	1737
460	1721
461	1721
462	1706
463	1725
464	1718
465	1705
466	1678
467	1656
468	1627
469	1613
470	1583
471	1563
472	1522
473	1478
474	1432
475	1380
476	1349
477	1309
478	1286
479	1264
480	1237
481	1226
482	1217
483	1212
484	1211
485	1217
486	1209
487	1207
488	1208
489	1205
490	1196
491	1206
492	1201
493	1199
494	1205
495	1195
496	1203
497	1193
498	1195
499	1194
500	1202
501	1194
502	1197
503	1191
504	1206
505	1195
506	1208
507	1193
508	1193
509	1195
510	1200
511	1204
512	1208
513	1203
514	1212
515	1198
516	1203
517	1201
518	1204
519	1200
520	1192
521	1201
522	1203
523	1205
524	1221
525	1245
526	1283
527	1315
528	1352
529	1412
530	1460
531	1524
532	1566
533	1598
534	1628
535	1631
536	1615
537	1616
538	1601
539	1592
540	1558
541	1522
542	1478
543	1421
544	1370
545	1317
546	1275
547	1240
548	1224
549	1212
550	1209
551	1200
552	1201
