CCDOps Exported Profile Report
Image: 
Average of Rows 239 through 265
Column	Value (ADU)
1	1442
2	1415
3	1408
4	1409
5	1394
6	1388
7	1400
8	1406
9	1418
10	1441
11	1445
12	1421
13	1394
14	1370
15	1353
16	1350
17	1375
18	1395
19	1400
20	1394
21	1374
22	1352
23	1366
24	1385
25	1419
26	1434
27	1429
28	1417
29	1410
30	1395
31	1384
32	1376
33	1373
34	1386
35	1394
36	1403
37	1422
38	1446
39	1442
40	1419
41	1396
42	1374
43	1349
44	1338
45	1359
46	1384
47	1399
48	1392
49	1378
50	1369
51	1348
52	1358
53	1378
54	1404
55	1438
56	1433
57	1425
58	1400
59	1398
60	1393
61	1382
62	1367
63	1367
64	1388
65	1388
66	1398
67	1413
68	1431
69	1449
70	1445
71	1423
72	1388
73	1363
74	1336
75	1338
76	1354
77	1375
78	1395
79	1402
80	1395
81	1375
82	1364
83	1355
84	1354
85	1360
86	1401
87	1440
88	1449
89	1437
90	1418
91	1409
92	1406
93	1397
94	1374
95	1368
96	1373
97	1380
98	1398
99	1400
100	1402
101	1422
102	1510
103	1465
104	1456
105	1437
106	1407
107	1377
108	1343
109	1329
110	1343
111	1352
112	1381
113	1405
114	1417
115	1406
116	1390
117	1371
118	1361
119	1341
120	1335
121	1361
122	1406
123	1451
124	1474
125	1459
126	1437
127	1426
128	1419
129	1416
130	1410
131	1389
132	1382
133	1369
134	1378
135	1392
136	1411
137	1417
138	1421
139	1432
140	1454
141	1484
142	1502
143	1481
144	1460
145	1432
146	1405
147	1374
148	1338
149	1326
150	1333
151	1355
152	1390
153	1405
154	1425
155	1422
156	1432
157	1409
158	1383
159	1369
160	1364
161	1349
162	1345
163	1352
164	1395
165	1449
166	1502
167	1510
168	1501
169	1472
170	1445
171	1426
172	1424
173	1434
174	1428
175	1410
176	1388
177	1376
178	1376
179	1385
180	1401
181	1422
182	1433
183	1429
184	1423
185	1430
186	1452
187	1477
188	1529
189	1539
190	1513
191	1492
192	1462
193	1443
194	1408
195	1382
196	1354
197	1333
198	1321
199	1323
200	1341
201	1363
202	1398
203	1415
204	1431
205	1441
206	1453
207	1443
208	1428
209	1392
210	1385
211	1368
212	1365
213	1345
214	1339
215	1325
216	1336
217	1369
218	1407
219	1466
220	1546
221	1558
222	1548
223	1525
224	1478
225	1454
226	1437
227	1428
228	1437
229	1452
230	1445
231	1446
232	1433
233	1411
234	1385
235	1376
236	1372
237	1366
238	1369
239	1391
240	1399
241	1425
242	1442
243	1440
244	1439
245	1428
246	1427
247	1421
248	1434
249	1453
250	1477
251	1523
252	1571
253	1578
254	1562
255	1534
256	1513
257	1497
258	1476
259	1450
260	1442
261	1428
262	1415
263	1388
264	1361
265	1331
266	1313
267	1309
268	1306
269	1302
270	1311
271	1333
272	1354
273	1364
274	1390
275	1413
276	1427
277	1444
278	1450
279	1447
280	1452
281	1458
282	1461
283	1461
284	1462
285	1436
286	1416
287	1399
288	1385
289	1380
290	1372
291	1377
292	1375
293	1364
294	1368
295	1361
296	1349
297	1340
298	1330
299	1315
300	1321
301	1312
302	1313
303	1331
304	1347
305	1357
306	1375
307	1407
308	1450
309	1498
310	1567
311	1592
312	1609
313	1600
314	1600
315	1589
316	1578
317	1572
318	1556
319	1537
320	1512
321	1497
322	1491
323	1476
324	1473
325	1458
326	1447
327	1441
328	1429
329	1417
330	1417
331	1424
332	1424
333	1424
334	1426
335	1437
336	1430
337	1454
338	1456
339	1451
340	1450
341	1452
342	1463
343	1450
344	1454
345	1450
346	1453
347	1448
348	1445
349	1453
350	1451
351	1456
352	1449
353	1446
354	1444
355	1458
356	1448
357	1432
358	1448
359	1444
360	1439
361	1438
362	1441
363	1435
364	1443
365	1441
366	1432
367	1434
368	1438
369	1431
370	1434
371	1438
372	1433
373	1441
374	1434
375	1430
376	1437
377	1440
378	1445
379	1439
380	1438
381	1440
382	1447
383	1445
384	1447
385	1450
386	1453
387	1447
388	1461
389	1450
390	1449
391	1454
392	1451
393	1462
394	1457
395	1444
396	1449
397	1461
398	1460
399	1460
400	1459
401	1458
402	1445
403	1449
404	1440
405	1430
406	1437
407	1465
408	1427
409	1419
410	1421
411	1426
412	1429
413	1436
414	1445
415	1445
416	1452
417	1452
418	1467
419	1465
420	1494
421	1504
422	1511
423	1528
424	1544
425	1557
426	1571
427	1570
428	1584
429	1573
430	1565
431	1507
432	1473
433	1440
434	1409
435	1369
436	1346
437	1328
438	1317
439	1302
440	1295
441	1301
442	1298
443	1307
444	1313
445	1321
446	1337
447	1343
448	1333
449	1330
450	1339
451	1344
452	1342
453	1354
454	1377
455	1373
456	1407
457	1402
458	1404
459	1409
460	1416
461	1405
462	1403
463	1403
464	1392
465	1394
466	1384
467	1373
468	1347
469	1333
470	1320
471	1313
472	1296
473	1292
474	1293
475	1301
476	1314
477	1328
478	1348
479	1371
480	1383
481	1392
482	1399
483	1410
484	1432
485	1443
486	1451
