CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\180Run4Image.JPG
Average of Rows 239 through 265
Column	Value (ADU)
1	1461
2	1443
3	1431
4	1428
5	1414
6	1392
7	1384
8	1395
9	1406
10	1410
11	1432
12	1437
13	1424
14	1410
15	1376
16	1352
17	1340
18	1340
19	1374
20	1388
21	1388
22	1371
23	1352
24	1350
25	1350
26	1369
27	1403
28	1433
29	1430
30	1410
31	1409
32	1396
33	1380
34	1381
35	1384
36	1389
37	1405
38	1417
39	1423
40	1436
41	1417
42	1411
43	1377
44	1346
45	1340
46	1335
47	1357
48	1373
49	1379
50	1384
51	1358
52	1351
53	1344
54	1335
55	1356
56	1393
57	1432
58	1446
59	1426
60	1417
61	1407
62	1389
63	1374
64	1369
65	1375
66	1389
67	1399
68	1404
69	1410
70	1441
71	1439
72	1417
73	1398
74	1361
75	1337
76	1322
77	1331
78	1354
79	1372
80	1406
81	1393
82	1370
83	1361
84	1338
85	1339
86	1332
87	1350
88	1395
89	1430
90	1462
91	1445
92	1412
93	1413
94	1399
95	1396
96	1379
97	1369
98	1380
99	1394
100	1399
101	1398
102	1475
103	1426
104	1462
105	1465
106	1442
107	1404
108	1376
109	1349
110	1325
111	1328
112	1332
113	1359
114	1374
115	1401
116	1413
117	1394
118	1369
119	1352
120	1337
121	1333
122	1325
123	1336
124	1385
125	1444
126	1489
127	1474
128	1449
129	1425
130	1421
131	1418
132	1411
133	1394
134	1381
135	1379
136	1391
137	1407
138	1414
139	1418
140	1416
141	1432
142	1455
143	1492
144	1490
145	1453
146	1426
147	1400
148	1383
149	1346
150	1324
151	1319
152	1336
153	1352
154	1378
155	1403
156	1418
157	1431
158	1410
159	1387
160	1370
161	1353
162	1349
163	1336
164	1322
165	1331
166	1372
167	1428
168	1494
169	1518
170	1498
171	1468
172	1447
173	1428
174	1432
175	1443
176	1427
177	1419
178	1402
179	1383
180	1384
181	1391
182	1427
183	1440
184	1427
185	1436
186	1431
187	1433
188	1454
189	1493
190	1543
191	1517
192	1489
193	1456
194	1431
195	1418
196	1396
197	1361
198	1327
199	1313
200	1309
201	1319
202	1341
203	1375
204	1392
205	1419
206	1437
207	1442
208	1449
209	1420
210	1394
211	1373
212	1354
213	1355
214	1354
215	1343
216	1337
217	1319
218	1317
219	1334
220	1378
221	1436
222	1509
223	1563
224	1557
225	1529
226	1503
227	1457
228	1447
229	1439
230	1433
231	1447
232	1452
233	1441
234	1434
235	1426
236	1405
237	1397
238	1376
239	1372
240	1386
241	1401
242	1425
243	1444
244	1437
245	1436
246	1432
247	1429
248	1428
249	1434
250	1432
251	1471
252	1508
253	1561
254	1588
255	1552
256	1514
257	1496
258	1479
259	1454
260	1440
261	1433
262	1432
263	1412
264	1402
265	1371
266	1336
267	1307
268	1301
269	1297
270	1298
271	1302
272	1319
273	1325
274	1351
275	1365
276	1379
277	1407
278	1424
279	1432
280	1446
281	1453
282	1460
283	1456
284	1466
285	1457
286	1434
287	1418
288	1402
289	1381
290	1367
291	1363
292	1356
293	1349
294	1356
295	1371
296	1360
297	1367
298	1354
299	1336
300	1337
301	1320
302	1306
303	1296
304	1298
305	1309
306	1312
307	1327
308	1351
309	1357
310	1406
311	1430
312	1468
313	1514
314	1565
315	1597
316	1613
317	1618
318	1598
319	1598
320	1580
321	1575
322	1558
323	1533
324	1516
325	1490
326	1476
327	1463
328	1460
329	1448
330	1441
331	1445
332	1438
333	1435
334	1430
335	1427
336	1427
337	1428
338	1431
339	1442
340	1442
341	1447
342	1454
343	1463
344	1456
345	1461
346	1469
347	1463
348	1460
349	1457
350	1456
351	1460
352	1456
353	1455
354	1453
355	1441
356	1446
357	1442
358	1446
359	1448
360	1442
361	1450
362	1438
363	1436
364	1443
365	1449
366	1446
367	1447
368	1436
369	1450
370	1446
371	1447
372	1447
373	1447
374	1447
375	1442
376	1444
377	1446
378	1439
379	1449
380	1454
381	1448
382	1444
383	1452
384	1454
385	1450
386	1453
387	1455
388	1450
389	1457
390	1456
391	1452
392	1450
393	1464
394	1467
395	1465
396	1461
397	1478
398	1469
399	1460
400	1461
401	1460
402	1448
403	1439
404	1438
405	1438
406	1438
407	1470
408	1429
409	1432
410	1428
411	1423
412	1438
413	1432
414	1435
415	1437
416	1440
417	1444
418	1465
419	1473
420	1504
421	1511
422	1521
423	1533
424	1545
425	1553
426	1570
427	1580
428	1586
429	1580
430	1561
431	1515
432	1477
433	1436
434	1398
435	1372
436	1349
437	1328
438	1310
439	1296
440	1291
441	1279
442	1285
443	1301
444	1306
445	1316
446	1317
447	1328
448	1329
449	1336
450	1332
451	1325
452	1334
453	1334
454	1342
455	1345
456	1362
457	1372
458	1386
459	1399
460	1412
461	1415
462	1405
463	1416
464	1408
465	1405
466	1404
467	1378
468	1366
469	1347
470	1341
471	1328
472	1308
473	1300
474	1288
475	1288
476	1290
477	1292
478	1300
479	1323
480	1328
481	1350
482	1371
483	1377
484	1393
485	1403
486	1408
487	1424
488	1444
489	1453
490	1463
491	1468
492	1453
493	1426
494	1415
495	1392
496	1380
497	1377
498	1378
499	1386
500	1377
501	1382
502	1366
503	1356
504	1353
505	1342
506	1343
507	1345
508	1348
509	1365
510	1365
511	1376
512	1379
513	1380
514	1384
515	1375
516	1379
517	1393
518	1391
519	1434
520	1451
521	1466
522	1457
523	1431
524	1391
525	1347
526	1314
527	1296
528	1286
529	1289
530	1295
531	1303
532	1309
533	1309
534	1337
535	1333
536	1359
537	1365
538	1376
539	1371
540	1362
541	1340
542	1327
543	1301
544	1298
545	1287
546	1284
547	1299
548	1311
549	1332
550	1351
551	1355
552	1383
553	1394
554	1409
555	1416
556	1402
557	1374
558	1365
559	1358
560	1343
561	1352
562	1343
563	1336
564	1320
565	1327
566	1325
567	1336
568	1340
569	1357
570	1358
571	1357
572	1364
573	1367
574	1377
575	1417
576	1423
577	1399
578	1373
579	1320
580	1292
581	1291
582	1287
583	1290
584	1301
585	1298
586	1316
587	1334
588	1345
589	1349
590	1343
591	1328
592	1309
593	1284
594	1275
595	1286
596	1289
597	1315
598	1336
599	1345
600	1368
601	1395
602	1382
603	1362
604	1348
605	1336
606	1336
607	1337
608	1321
609	1320
610	1314
611	1316
612	1326
613	1334
614	1341
615	1342
616	1335
617	1365
618	1377
619	1396
620	1375
621	1330
622	1300
623	1276
624	1278
625	1283
626	1290
627	1304
628	1319
629	1328
630	1329
631	1313
632	1305
633	1292
634	1276
635	1283
636	1292
637	1312
638	1329
639	1349
640	1356
641	1363
642	1347
643	1335
644	1324
645	1328
646	1315
647	1311
648	1302
649	1309
650	1317
651	1332
652	1317
653	1334
654	1340
655	1362
656	1355
657	1338
658	1301
659	1280
660	1282
661	1276
662	1285
663	1298
664	1314
665	1319
666	1308
667	1299
668	1281
669	1270
670	1280
671	1299
672	1311
673	1329
674	1340
675	1346
676	1330
677	1328
678	1327
679	1309
680	1312
681	1302
682	1300
683	1309
684	1316
685	1320
686	1337
687	1347
688	1351
689	1337
690	1296
691	1281
692	1281
693	1276
694	1281
695	1296
696	1308
697	1297
698	1300
699	1281
700	1274
701	1281
702	1296
703	1318
704	1324
705	1334
706	1329
707	1315
708	1320
709	1303
710	1297
711	1294
712	1300
713	1312
714	1313
715	1322
716	1331
717	1348
718	1334
719	1301
720	1277
721	1265
722	1283
723	1287
724	1292
725	1296
726	1294
727	1273
728	1273
729	1275
730	1287
731	1312
732	1322
733	1330
734	1316
735	1308
736	1304
737	1299
738	1286
739	1293
740	1302
741	1307
742	1319
743	1321
744	1334
745	1323
746	1317
747	1278
748	1274
749	1275
750	1285
751	1297
752	1301
753	1284
754	1273
755	1269
756	1284
757	1292
758	1320
759	1325
760	1318
761	1312
762	1307
763	1301
764	1299
765	1303
