CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\90Run4image.FIT
Average of Rows 239 through 265
Column	Value (ADU)
1	1356
2	1335
3	1327
4	1330
5	1327
6	1322
7	1316
8	1310
9	1313
10	1313
11	1326
12	1337
13	1359
14	1397
15	1423
16	1453
17	1512
18	1566
19	1577
20	1540
21	1493
22	1453
23	1416
24	1387
25	1358
26	1352
27	1344
28	1333
29	1325
30	1313
31	1313
32	1326
33	1321
34	1317
35	1312
36	1306
37	1304
38	1315
39	1320
40	1327
41	1354
42	1386
43	1420
44	1437
45	1482
46	1544
47	1594
48	1576
49	1533
50	1489
51	1450
52	1414
53	1380
54	1357
55	1343
56	1346
57	1336
58	1318
59	1317
60	1311
61	1307
62	1298
63	1315
64	1314
65	1311
66	1301
67	1302
68	1300
69	1303
70	1315
71	1329
72	1361
73	1399
74	1423
75	1441
76	1477
77	1543
78	1620
79	1621
80	1581
81	1533
82	1483
83	1451
84	1421
85	1377
86	1355
87	1343
88	1347
89	1334
90	1326
91	1306
92	1314
93	1306
94	1298
95	1303
96	1306
97	1311
98	1314
99	1310
100	1295
101	1298
102	1363
103	1303
104	1313
105	1325
106	1356
107	1385
108	1410
109	1426
110	1458
111	1490
112	1568
113	1643
114	1653
115	1613
116	1565
117	1519
118	1483
119	1455
120	1421
121	1381
122	1349
123	1341
124	1355
125	1348
126	1333
127	1316
128	1313
129	1310
130	1313
131	1302
132	1306
133	1306
134	1314
135	1315
136	1317
137	1302
138	1305
139	1288
140	1294
141	1300
142	1308
143	1318
144	1323
145	1356
146	1378
147	1413
148	1441
149	1443
150	1453
151	1485
152	1565
153	1655
154	1708
155	1693
156	1656
157	1607
158	1556
159	1515
160	1478
161	1456
162	1429
163	1392
164	1362
165	1341
166	1350
167	1361
168	1364
169	1339
170	1321
171	1316
172	1313
173	1312
174	1310
175	1300
176	1303
177	1292
178	1298
179	1321
180	1320
181	1318
182	1309
183	1306
184	1300
185	1300
186	1301
187	1298
188	1306
189	1309
190	1311
191	1329
192	1341
193	1359
194	1384
195	1414
196	1453
197	1454
198	1442
199	1445
200	1473
201	1520
202	1620
203	1709
204	1769
205	1778
206	1727
207	1681
208	1629
209	1583
210	1539
211	1512
212	1496
213	1484
214	1463
215	1429
216	1404
217	1369
218	1344
219	1330
220	1342
221	1360
222	1378
223	1375
224	1338
225	1326
226	1315
227	1306
228	1312
229	1315
230	1316
231	1319
232	1305
233	1298
234	1302
235	1288
236	1304
237	1305
238	1323
239	1331
240	1331
241	1323
242	1307
243	1295
244	1298
245	1290
246	1296
247	1296
248	1302
249	1285
250	1293
251	1298
252	1310
253	1312
254	1311
255	1317
256	1317
257	1330
258	1333
259	1348
260	1370
261	1379
262	1408
263	1439
264	1478
265	1478
266	1460
267	1444
268	1451
269	1439
270	1437
271	1461
272	1497
273	1545
274	1620
275	1680
276	1751
277	1825
278	1849
279	1835
280	1794
281	1775
282	1756
283	1720
284	1691
285	1658
286	1647
287	1623
288	1588
289	1558
290	1515
291	1515
292	1512
293	1517
294	1525
295	1514
296	1496
297	1486
298	1486
299	1481
300	1454
301	1419
302	1380
303	1366
304	1355
305	1339
306	1326
307	1310
308	1311
309	1310
310	1338
311	1339
312	1358
313	1376
314	1398
315	1407
316	1410
317	1413
318	1398
319	1378
320	1361
321	1354
322	1336
323	1322
324	1315
325	1317
326	1310
327	1306
328	1309
329	1294
330	1300
331	1310
332	1298
333	1306
334	1304
335	1306
336	1308
337	1314
338	1312
339	1311
340	1309
341	1314
342	1311
343	1306
344	1321
345	1314
346	1319
347	1309
348	1314
349	1314
350	1311
351	1312
352	1304
353	1304
354	1308
355	1297
356	1296
357	1300
358	1300
359	1296
360	1304
361	1303
362	1305
363	1300
364	1300
365	1295
366	1298
367	1305
368	1297
369	1304
370	1296
371	1299
372	1307
373	1297
374	1297
375	1299
376	1292
377	1294
378	1296
379	1303
380	1301
381	1304
382	1300
383	1294
384	1300
385	1306
386	1299
387	1303
388	1297
389	1306
390	1303
391	1307
392	1314
393	1307
394	1309
395	1310
396	1308
397	1318
398	1308
399	1308
400	1312
401	1303
402	1305
403	1302
404	1312
405	1302
406	1302
407	1340
408	1303
409	1297
410	1296
411	1305
412	1300
413	1301
414	1296
415	1298
416	1303
417	1308
418	1309
419	1315
420	1328
421	1348
422	1355
423	1365
424	1377
425	1388
426	1385
427	1377
428	1365
429	1363
430	1335
431	1323
432	1305
433	1307
434	1299
435	1308
436	1320
437	1327
438	1343
439	1352
440	1375
441	1391
442	1415
443	1436
444	1431
445	1451
446	1464
447	1475
448	1475
449	1459
450	1460
451	1467
452	1491
453	1512
454	1534
455	1555
456	1585
457	1604
458	1624
459	1649
460	1675
461	1697
462	1719
463	1757
464	1762
465	1737
466	1699
467	1639
468	1591
469	1534
470	1489
471	1449
472	1427
473	1422
474	1425
475	1425
476	1423
477	1429
478	1417
479	1403
480	1368
481	1341
482	1335
483	1324
484	1307
485	1304
486	1292
487	1285
488	1287
489	1282
490	1287
491	1281
492	1283
493	1276
494	1278
495	1266
496	1265
497	1275
498	1276
499	1275
500	1285
501	1288
502	1289
503	1293
504	1289
505	1286
506	1277
507	1264
508	1270
509	1267
510	1274
511	1278
512	1277
513	1280
514	1281
515	1278
516	1284
517	1285
518	1303
519	1305
520	1323
521	1319
522	1310
523	1302
524	1298
525	1316
526	1338
527	1366
528	1392
529	1407
530	1421
531	1425
532	1456
533	1472
534	1515
535	1550
536	1589
537	1620
538	1623
539	1615
540	1553
541	1499
542	1441
543	1413
544	1396
545	1393
546	1379
547	1363
548	1333
549	1309
550	1294
551	1285
552	1288
553	1271
554	1274
555	1262
556	1266
557	1260
558	1259
559	1264
560	1266
561	1274
562	1270
563	1262
564	1275
565	1256
566	1264
567	1263
568	1257
569	1262
570	1260
571	1262
572	1272
573	1284
574	1294
575	1302
576	1300
577	1285
578	1299
579	1315
580	1343
581	1369
582	1379
583	1398
584	1424
585	1456
586	1498
587	1544
588	1552
589	1556
590	1507
591	1456
592	1412
593	1387
594	1363
595	1360
596	1326
597	1305
598	1284
599	1275
600	1271
601	1277
602	1258
603	1254
604	1252
605	1259
606	1259
607	1266
608	1266
609	1261
610	1258
611	1253
612	1258
613	1256
614	1255
615	1257
616	1270
617	1282
618	1292
619	1295
620	1285
621	1305
622	1322
623	1347
624	1367
625	1392
626	1427
627	1462
628	1502
629	1517
630	1499
631	1442
632	1405
633	1377
634	1347
635	1333
636	1304
637	1293
638	1272
639	1267
640	1270
641	1254
642	1260
643	1247
644	1254
645	1250
646	1259
647	1255
648	1245
649	1256
650	1257
651	1256
652	1254
653	1269
654	1274
655	1280
656	1272
657	1290
658	1316
659	1336
660	1365
661	1379
662	1433
663	1471
664	1486
665	1475
666	1427
667	1389
668	1365
669	1329
670	1306
671	1284
672	1277
673	1261
674	1251
675	1242
676	1246
677	1248
678	1266
679	1258
680	1245
681	1251
682	1248
683	1242
684	1255
685	1265
686	1267
687	1267
688	1271
689	1289
690	1305
691	1334
692	1367
693	1393
694	1424
695	1456
696	1462
697	1424
698	1382
699	1349
700	1328
701	1298
702	1276
703	1264
704	1253
705	1251
706	1244
707	1243
708	1255
709	1249
710	1250
711	1244
712	1247
713	1248
714	1255
715	1261
716	1262
717	1271
718	1279
719	1305
720	1329
721	1345
722	1389
723	1424
724	1437
725	1428
726	1395
727	1357
728	1329
729	1310
730	1276
731	1268
732	1256
733	1255
734	1245
735	1250
736	1250
737	1251
738	1251
739	1249
740	1248
741	1246
742	1261
743	1265
744	1274
745	1281
746	1331
747	1324
748	1349
749	1391
750	1425
751	1430
752	1400
753	1362
754	1333
755	1297
756	1273
757	1265
758	1259
759	1251
760	1244
761	1250
762	1251
763	1251
764	1243
765	1253
