CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\90Run5Image.JPG
Average of Rows 239 through 265
Column	Value (ADU)
1	1335
2	1323
3	1321
4	1318
5	1325
6	1316
7	1313
8	1307
9	1301
10	1306
11	1317
12	1334
13	1356
14	1395
15	1418
16	1450
17	1518
18	1555
19	1566
20	1529
21	1477
22	1438
23	1410
24	1379
25	1342
26	1338
27	1330
28	1320
29	1309
30	1305
31	1301
32	1315
33	1307
34	1309
35	1298
36	1292
37	1301
38	1309
39	1316
40	1324
41	1351
42	1381
43	1410
44	1437
45	1480
46	1546
47	1589
48	1570
49	1530
50	1475
51	1440
52	1406
53	1382
54	1342
55	1331
56	1328
57	1317
58	1302
59	1296
60	1307
61	1294
62	1297
63	1301
64	1303
65	1296
66	1299
67	1287
68	1291
69	1296
70	1310
71	1329
72	1361
73	1400
74	1414
75	1431
76	1462
77	1543
78	1602
79	1606
80	1576
81	1522
82	1462
83	1437
84	1402
85	1379
86	1335
87	1336
88	1335
89	1319
90	1313
91	1302
92	1304
93	1300
94	1289
95	1295
96	1300
97	1307
98	1301
99	1284
100	1283
101	1290
102	1349
103	1288
104	1307
105	1319
106	1348
107	1381
108	1410
109	1415
110	1457
111	1485
112	1566
113	1629
114	1641
115	1612
116	1557
117	1496
118	1467
119	1441
120	1409
121	1381
122	1340
123	1327
124	1334
125	1332
126	1319
127	1310
128	1297
129	1295
130	1293
131	1293
132	1291
133	1307
134	1303
135	1306
136	1299
137	1292
138	1289
139	1292
140	1286
141	1291
142	1292
143	1306
144	1311
145	1338
146	1376
147	1417
148	1435
149	1430
150	1452
151	1482
152	1562
153	1652
154	1712
155	1683
156	1649
157	1592
158	1552
159	1495
160	1468
161	1461
162	1429
163	1394
164	1358
165	1332
166	1337
167	1345
168	1345
169	1327
170	1309
171	1304
172	1297
173	1295
174	1295
175	1294
176	1293
177	1296
178	1297
179	1317
180	1320
181	1315
182	1300
183	1293
184	1285
185	1289
186	1298
187	1290
188	1295
189	1294
190	1297
191	1303
192	1330
193	1347
194	1380
