CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\90Run6Imgae.JPG
Average of Rows 239 through 265
Column	Value (ADU)
1	1376
2	1359
3	1360
4	1357
5	1359
6	1354
7	1347
8	1337
9	1342
10	1340
11	1348
12	1363
13	1394
14	1426
15	1448
16	1478
17	1534
18	1586
19	1607
20	1564
21	1511
22	1470
23	1442
24	1414
25	1379
26	1374
27	1368
28	1356
29	1348
30	1337
31	1333
32	1348
33	1346
34	1351
35	1341
36	1330
37	1332
38	1342
39	1342
40	1360
41	1381
42	1415
43	1446
44	1465
45	1502
46	1565
47	1625
48	1606
49	1553
50	1513
51	1464
52	1437
53	1413
54	1376
55	1374
56	1361
57	1363
58	1345
59	1330
60	1342
61	1336
62	1336
63	1346
64	1341
65	1332
66	1327
67	1325
68	1329
69	1334
70	1349
71	1356
72	1392
73	1434
74	1441
75	1457
76	1492
77	1564
78	1624
79	1645
80	1606
81	1546
82	1500
83	1476
84	1452
85	1418
86	1382
87	1372
88	1367
89	1354
90	1349
91	1338
92	1332
93	1335
94	1327
95	1330
96	1333
97	1341
98	1332
99	1328
100	1328
101	1330
102	1391
103	1332
104	1340
105	1351
106	1382
107	1422
108	1440
109	1451
110	1475
111	1511
112	1586
113	1662
114	1679
115	1638
116	1583
117	1536
118	1493
119	1473
120	1440
121	1423
122	1377
123	1358
124	1366
125	1373
126	1357
127	1350
128	1334
129	1333
130	1335
131	1324
132	1330
133	1333
134	1343
135	1346
136	1333
137	1327
138	1323
139	1326
140	1328
141	1328
142	1332
143	1336
144	1353
145	1373
146	1409
147	1444
148	1467
149	1475
150	1472
151	1510
152	1590
153	1666
154	1730
155	1724
156	1679
157	1627
158	1575
159	1523
160	1495
161	1481
162	1465
163	1444
164	1396
165	1370
166	1366
167	1369
168	1381
169	1363
170	1341
171	1335
172	1339
173	1339
174	1331
175	1329
176	1330
177	1331
178	1341
179	1359
180	1353
181	1353
182	1335
183	1332
184	1320
185	1331
186	1332
187	1317
188	1331
189	1329
190	1330
191	1339
192	1363
193	1383
194	1410
195	1457
196	1485
197	1487
198	1479
199	1460
200	1481
201	1543
202	1636
203	1727
204	1790
205	1796
206	1753
207	1694
208	1648
209	1610
210	1563
211	1521
212	1506
213	1514
214	1499
215	1480
216	1453
217	1408
218	1379
219	1361
220	1354
221	1371
222	1395
223	1389
224	1368
225	1354
226	1350
227	1330
228	1337
229	1332
230	1330
231	1328
232	1328
233	1325
234	1328
235	1323
236	1322
237	1343
238	1352
239	1369
240	1364
241	1348
242	1340
243	1331
244	1312
245	1324
246	1327
247	1324
248	1325
249	1319
250	1326
251	1333
252	1332
253	1332
254	1328
255	1334
256	1339
257	1349
