CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\90Run7Image.FIT
Average of Rows 239 through 265
Column	Value (ADU)
1	1325
2	1314
3	1317
4	1316
5	1322
6	1316
7	1310
8	1312
9	1308
10	1306
11	1318
12	1344
13	1368
14	1396
15	1420
16	1453
17	1518
18	1563
19	1557
20	1517
21	1461
22	1426
23	1398
24	1373
25	1341
26	1325
27	1312
28	1309
29	1300
30	1297
31	1299
32	1306
33	1312
34	1311
35	1309
36	1296
37	1305
38	1311
39	1316
40	1337
41	1369
42	1396
43	1417
44	1434
45	1482
46	1555
47	1585
48	1554
49	1515
50	1466
51	1433
52	1406
53	1381
54	1338
55	1324
56	1310
57	1300
58	1306
59	1289
60	1295
61	1292
62	1293
63	1313
64	1316
65	1297
66	1300
67	1290
68	1295
69	1295
70	1312
71	1333
72	1363
73	1405
74	1416
75	1436
76	1482
77	1552
78	1610
79	1601
80	1551
81	1504
82	1455
83	1439
84	1408
85	1371
86	1346
87	1332
88	1321
89	1303
90	1303
91	1287
92	1294
93	1291
94	1288
95	1293
96	1305
97	1309
98	1303
99	1292
100	1296
101	1296
102	1349
103	1297
104	1308
105	1327
106	1360
107	1397
108	1410
109	1425
110	1450
111	1490
112	1572
113	1643
114	1633
115	1577
116	1536
117	1486
118	1452
119	1433
120	1417
121	1383
122	1345
123	1319
124	1323
125	1308
126	1294
127	1304
128	1291
129	1287
130	1288
131	1289
132	1300
133	1308
134	1314
135	1307
136	1300
137	1294
138	1286
139	1292
140	1294
141	1300
142	1297
143	1315
144	1334
145	1353
146	1393
147	1430
148	1431
149	1435
150	1454
151	1484
152	1574
153	1662
154	1705
155	1681
156	1631
157	1576
158	1517
159	1476
160	1450
161	1451
162	1428
163	1410
164	1362
165	1342
166	1321
167	1317
168	1319
169	1303
170	1297
171	1293
172	1289
173	1294
174	1289
175	1287
176	1279
177	1284
178	1312
179	1329
180	1331
181	1303
182	1292
183	1295
184	1285
185	1289
186	1298
187	1291
188	1296
189	1295
190	1297
191	1317
192	1333
193	1368
194	1393
195	1440
196	1452
197	1445
198	1432
199	1429
200	1463
201	1528
202	1628
203	1725
204	1755
205	1745
206	1707
207	1652
208	1607
209	1555
210	1505
211	1477
212	1460
213	1474
214	1467
215	1447
216	1426
217	1375
218	1345
219	1315
220	1314
221	1322
222	1325
223	1315
224	1306
225	1292
226	1289
227	1283
228	1284
229	1288
230	1282
231	1280
232	1283
233	1281
234	1278
235	1275
236	1288
237	1304
238	1314
239	1347
240	1329
241	1316
242	1295
243	1283
244	1283
245	1282
246	1284
247	1291
248	1294
249	1284
250	1292
251	1287
252	1290
253	1294
254	1286
255	1294
256	1308
257	1317
258	1334
259	1347
260	1374
261	1402
262	1445
263	1465
264	1466
265	1458
266	1460
267	1451
268	1427
269	1410
270	1419
271	1438
272	1468
273	1533
274	1611
275	1687
276	1748
277	1819
278	1845
279	1830
280	1795
281	1766
282	1728
283	1683
284	1653
285	1632
286	1616
287	1609
288	1567
289	1522
290	1482
291	1461
292	1451
293	1462
294	1488
295	1507
296	1497
297	1486
298	1483
299	1474
300	1480
301	1461
302	1434
303	1409
304	1382
305	1362
306	1349
307	1331
308	1316
309	1299
310	1314
311	1307
312	1305
313	1322
314	1327
315	1345
316	1340
317	1335
318	1328
319	1320
320	1310
321	1306
322	1300
323	1292
324	1295
325	1296
326	1290
327	1285
328	1280
329	1288
330	1281
331	1285
332	1279
333	1283
334	1281
335	1280
336	1278
337	1284
338	1283
339	1278
340	1275
341	1275
342	1276
343	1277
344	1271
345	1273
346	1277
347	1276
348	1276
349	1280
350	1277
351	1283
352	1277
353	1283
354	1278
355	1278
356	1271
357	1280
358	1275
359	1272
360	1276
361	1269
362	1274
363	1273
364	1275
365	1273
366	1271
367	1271
368	1265
369	1270
370	1274
371	1277
372	1277
373	1274
374	1266
375	1269
376	1275
377	1273
378	1275
379	1276
380	1281
381	1269
382	1277
383	1277
384	1277
385	1272
386	1270
387	1275
388	1270
389	1274
390	1280
391	1273
392	1280
393	1280
394	1271
395	1272
396	1277
397	1276
398	1275
399	1268
400	1277
401	1272
402	1273
403	1269
404	1276
405	1280
406	1283
407	1320
408	1272
409	1276
410	1276
411	1277
412	1279
413	1280
414	1279
415	1281
416	1281
417	1282
418	1288
419	1298
420	1298
421	1306
422	1310
423	1316
424	1325
425	1327
426	1331
427	1319
428	1309
429	1299
430	1290
431	1297
432	1298
433	1307
434	1303
435	1320
436	1337
437	1358
438	1375
439	1397
440	1415
441	1437
442	1429
443	1437
444	1442
445	1460
446	1462
447	1436
448	1423
449	1414
450	1423
451	1442
452	1465
453	1495
454	1533
455	1546
456	1570
457	1582
458	1611
459	1642
460	1673
461	1691
462	1729
463	1743
464	1741
465	1710
466	1664
467	1607
468	1544
469	1485
470	1445
471	1411
472	1405
473	1394
474	1410
475	1412
476	1418
477	1424
478	1415
479	1396
480	1375
481	1347
482	1330
483	1312
484	1296
485	1277
486	1286
487	1275
488	1267
489	1262
490	1264
491	1267
