CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\180Run7.FIT
Average of Rows 239 through 265
Column	Value (ADU)
1	1444
2	1456
3	1452
4	1441
5	1431
6	1427
7	1417
8	1413
9	1412
10	1429
11	1441
12	1431
13	1397
14	1378
15	1353
16	1335
17	1343
18	1350
19	1371
20	1384
21	1377
22	1364
23	1344
24	1341
25	1339
26	1354
27	1376
28	1419
29	1451
30	1433
31	1418
32	1411
33	1409
34	1421
35	1413
36	1402
37	1412
38	1438
39	1449
40	1431
41	1402
42	1378
43	1357
44	1340
45	1332
46	1340
47	1357
48	1385
49	1382
50	1371
51	1349
52	1339
53	1338
54	1329
55	1332
56	1368
57	1414
58	1442
59	1440
60	1432
61	1420
62	1401
63	1410
64	1407
65	1412
66	1403
67	1407
68	1424
69	1445
70	1457
71	1426
72	1393
73	1362
74	1338
75	1328
76	1329
77	1334
78	1356
79	1378
80	1402
81	1381
82	1361
83	1356
84	1341
85	1329
86	1338
87	1335
88	1364
89	1406
90	1453
91	1464
92	1450
93	1438
94	1407
95	1407
96	1405
97	1421
98	1424
99	1410
100	1403
101	1417
102	1513
103	1473
104	1457
105	1431
106	1402
107	1372
108	1344
109	1336
110	1326
111	1322
112	1343
113	1358
114	1380
115	1402
116	1399
117	1380
118	1361
119	1337
120	1332
121	1333
122	1326
123	1325
124	1347
125	1393
126	1449
127	1483
128	1487
129	1460
130	1435
131	1415
132	1413
133	1415
134	1427
135	1437
136	1430
137	1421
138	1410
139	1422
140	1441
141	1484
142	1502
143	1488
144	1452
145	1408
146	1381
147	1358
148	1339
149	1331
150	1326
151	1319
152	1329
153	1351
154	1384
155	1413
156	1420
157	1403
158	1387
159	1374
160	1350
161	1343
162	1337
163	1336
164	1331
165	1325
166	1334
167	1365
168	1429
169	1487
170	1528
171	1510
172	1491
173	1468
174	1436
175	1428
176	1426
177	1435
178	1438
179	1453
180	1458
181	1455
182	1451
183	1434
184	1428
185	1437
186	1464
187	1487
188	1541
189	1541
190	1516
191	1476
192	1436
193	1395
194	1378
195	1365
196	1344
197	1331
198	1328
199	1327
200	1316
201	1325
202	1335
203	1371
204	1401
