CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\90Run9.JPG
Average of Rows 239 through 265
Column	Value (ADU)
1	1338
2	1325
3	1318
4	1318
5	1320
6	1323
7	1312
8	1309
9	1305
10	1307
11	1311
12	1328
13	1356
14	1379
15	1402
16	1433
17	1485
18	1537
19	1555
20	1519
21	1460
22	1426
23	1402
24	1381
25	1352
26	1339
27	1328
28	1315
29	1307
30	1308
31	1297
32	1307
33	1315
34	1308
35	1299
36	1299
37	1302
38	1304
39	1306
40	1325
41	1344
42	1380
43	1400
44	1418
45	1458
46	1517
47	1574
48	1564
49	1508
50	1461
51	1422
52	1402
53	1388
54	1356
55	1326
56	1319
57	1316
58	1314
59	1306
60	1304
61	1290
62	1292
63	1303
64	1310
65	1304
66	1289
67	1290
68	1297
69	1286
70	1305
71	1325
72	1356
73	1386
74	1400
75	1414
76	1453
77	1516
78	1587
79	1598
80	1560
81	1508
82	1448
83	1421
84	1411
85	1388
86	1353
87	1335
88	1323
89	1314
90	1317
91	1304
92	1297
93	1290
94	1292
95	1296
96	1305
97	1311
98	1302
99	1292
100	1298
101	1291
102	1351
103	1296
104	1301
105	1319
106	1342
107	1371
108	1399
109	1405
110	1419
111	1454
112	1537
113	1608
114	1624
115	1595
116	1528
117	1483
118	1446
119	1423
120	1414
121	1390
122	1364
123	1337
124	1331
125	1319
126	1325
127	1315
128	1312
129	1293
130	1292
131	1292
132	1298
133	1296
134	1312
135	1313
136	1305
137	1295
138	1287
139	1291
140	1289
141	1296
142	1290
143	1300
144	1311
145	1345
146	1384
147	1411
148	1411
149	1420
150	1415
151	1459
152	1531
153	1623
154	1684
155	1687
156	1630
157	1581
158	1520
159	1467
160	1443
161	1431
162	1442
163	1419
164	1390
165	1356
166	1335
167	1324
168	1331
169	1327
170	1325
171	1310
172	1307
173	1297
174	1288
175	1289
176	1297
177	1290
178	1306
179	1323
180	1327
181	1315
182	1306
183	1302
184	1291
185	1294
186	1302
187	1293
188	1291
189	1294
190	1290
191	1306
192	1327
193	1355
194	1375
195	1422
196	1431
197	1430
198	1418
199	1414
200	1431
201	1487
202	1577
203	1680
204	1736
205	1750
206	1705
207	1658
208	1599
209	1564
210	1507
211	1465
212	1435
213	1434
214	1460
215	1455
216	1434
217	1407
218	1365
219	1339
220	1331
221	1323
222	1329
223	1327
224	1331
225	1327
226	1324
227	1312
228	1312
229	1305
230	1293
231	1291
232	1285
233	1287
234	1289
235	1293
236	1289
237	1309
238	1324
239	1333
240	1342
241	1324
242	1305
243	1290
244	1282
245	1285
246	1294
247	1294
248	1303
249	1302
250	1294
251	1288
252	1290
253	1291
254	1284
255	1289
256	1302
257	1310
258	1333
259	1343
260	1364
261	1389
262	1433
263	1446
264	1445
265	1442
266	1447
267	1440
268	1411
269	1394
270	1409
271	1416
272	1451
273	1503
274	1585
275	1654
276	1719
277	1789
278	1840
279	1826
280	1790
281	1753
282	1728
283	1698
284	1653
285	1626
286	1600
287	1598
288	1566
289	1523
290	1481
291	1455
292	1434
293	1426
294	1429
295	1458
296	1476
297	1491
298	1482
299	1466
300	1468
301	1476
302	1466
303	1442
304	1419
305	1384
306	1365
307	1360
308	1333
309	1322
310	1336
311	1319
312	1320
313	1323
314	1332
315	1336
316	1330
317	1325
318	1325
319	1323
320	1328
321	1332
322	1334
323	1325
324	1328
325	1330
326	1329
327	1326
328	1327
329	1322
