CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\WithB\180\1_B0200Image.FIT
Average of Rows 238 through 264
Column	Value (ADU)
1	1453
2	1336
3	1307
4	1293
5	1301
6	1307
7	1302
8	1299
9	1290
10	1285
11	1280
12	1281
13	1284
14	1283
15	1285
16	1293
17	1300
18	1320
19	1369
20	1487
21	1673
22	1863
23	1958
24	1975
25	1873
26	1687
27	1509
28	1381
29	1309
30	1273
31	1276
32	1291
33	1293
34	1287
35	1288
36	1294
37	1277
38	1273
39	1264
40	1268
41	1266
42	1275
43	1285
44	1282
45	1294
46	1311
47	1338
48	1428
49	1582
50	1798
51	1944
52	2008
53	2005
54	1871
55	1676
56	1508
57	1379
58	1298
59	1270
60	1259
61	1269
62	1283
63	1288
64	1279
65	1279
66	1289
67	1280
68	1261
69	1255
70	1262
71	1263
72	1268
73	1283
74	1280
75	1279
76	1283
77	1305
78	1332
79	1408
80	1576
81	1797
82	1979
83	2049
84	2085
85	2020
86	1865
87	1667
88	1485
89	1362
90	1293
91	1260
92	1254
93	1268
94	1273
95	1290
96	1281
97	1276
98	1281
99	1282
100	1276
101	1255
102	1322
103	1259
104	1259
105	1264
106	1273
107	1277
108	1275
109	1266
110	1286
111	1291
112	1309
113	1352
114	1451
115	1619
116	1846
117	2016
118	2080
119	2125
120	2113
121	1982
122	1797
123	1615
124	1464
125	1355
126	1287
127	1260
128	1249
129	1247
130	1260
131	1284
132	1299
133	1285
134	1267
135	1279
136	1288
137	1283
138	1271
139	1255
140	1254
141	1254
142	1258
143	1255
144	1255
145	1269
146	1285
147	1274
148	1276
149	1274
150	1288
151	1293
152	1309
153	1349
154	1442
155	1605
156	1829
157	2046
158	2131
159	2170
160	2213
161	2224
162	2107
163	1943
164	1754
165	1586
166	1455
167	1347
168	1283
169	1257
170	1241
171	1243
172	1236
173	1251
174	1277
175	1294
176	1303
177	1276
178	1263
179	1269
180	1289
181	1290
182	1277
183	1263
184	1253
185	1252
186	1250
187	1242
188	1251
189	1248
190	1252
191	1259
192	1271
193	1274
194	1269
195	1263
196	1261
197	1269
198	1281
199	1292
200	1282
201	1298
202	1354
203	1420
204	1547
205	1740
206	1976
207	2176
208	2224
209	2229
210	2271
211	2338
212	2356
213	2239
214	2117
215	1952
216	1774
217	1647
218	1519
219	1412
220	1337
221	1280
222	1258
223	1241
224	1227
225	1235
226	1234
227	1236
228	1247
229	1274
230	1288
231	1309
232	1309
233	1288
234	1267
235	1259
236	1262
237	1266
238	1296
239	1307
240	1295
241	1269
242	1260
243	1257
244	1238
245	1241
246	1246
247	1249
248	1262
249	1250
250	1248
251	1250
252	1243
253	1249
254	1252
255	1265
256	1267
257	1285
258	1274
259	1259
260	1257
261	1251
262	1258
263	1257
264	1284
265	1287
266	1291
267	1284
268	1275
269	1271
270	1284
271	1325
272	1357
273	1398
274	1463
275	1561
276	1697
277	1850
278	2032
279	2227
280	2362
281	2366
282	2309
283	2285
284	2332
285	2363
286	2383
287	2449
288	2521
289	2541
290	2443
291	2365
292	2305
293	2238
294	2136
295	2016
296	1905
297	1826
298	1747
299	1666
300	1606
301	1556
302	1496
303	1434
304	1373
305	1328
306	1290
307	1276
308	1260
309	1247
310	1258
311	1247
312	1238
313	1229
314	1225
315	1228
316	1221
317	1229
318	1231
319	1222
320	1228
321	1223
322	1225
323	1222
324	1235
325	1230
326	1246
327	1254
328	1258
329	1263
330	1277
331	1288
332	1294
333	1302
334	1308
335	1324
336	1337
337	1340
338	1341
339	1333
340	1329
341	1310
342	1301
343	1287
344	1276
345	1269
346	1270
347	1263
348	1247
349	1256
350	1246
351	1253
352	1246
353	1247
354	1254
355	1248
356	1249
357	1253
358	1253
359	1252
360	1250
361	1246
362	1245
363	1254
364	1251
365	1250
366	1256
367	1255
368	1247
369	1260
370	1254
371	1252
372	1254
373	1259
374	1253
375	1251
376	1251
377	1250
378	1255
379	1256
380	1263
381	1254
382	1248
383	1250
384	1257
385	1251
386	1258
387	1255
388	1250
389	1249
390	1248
391	1251
392	1259
393	1253
394	1248
395	1252
396	1246
397	1250
398	1254
399	1249
400	1250
401	1248
402	1249
403	1266
404	1260
405	1276
406	1286
407	1335
408	1303
409	1324
410	1323
411	1323
412	1325
413	1325
414	1308
415	1307
416	1304
417	1292
418	1282
419	1276
420	1266
421	1261
422	1242
423	1241
424	1230
425	1226
426	1225
427	1219
428	1218
429	1223
430	1222
431	1220
432	1217
433	1223
434	1218
435	1219
436	1222
437	1227
438	1227
439	1239
440	1245
441	1247
442	1265
443	1279
444	1305
445	1347
446	1386
447	1444
448	1499
449	1555
450	1607
451	1665
452	1750
453	1835
454	1921
455	2031
456	2125
457	2180
458	2240
459	2323
460	2389
461	2404
