CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\WithB\180\3_B0400.TIF
Average of Rows 238 through 264
Column	Value (ADU)
1	1609
2	1450
3	1379
4	1331
5	1327
6	1295
7	1286
8	1289
9	1292
10	1304
11	1304
12	1289
13	1300
14	1307
15	1290
16	1308
17	1341
18	1412
19	1553
20	1696
21	1806
22	1782
23	1768
24	1786
25	1832
26	1796
27	1678
28	1540
29	1422
30	1349
31	1321
32	1312
33	1292
34	1280
35	1272
36	1287
37	1297
38	1309
39	1293
40	1294
41	1291
42	1291
43	1288
44	1298
45	1331
46	1386
47	1500
48	1659
49	1801
50	1830
51	1775
52	1772
53	1822
54	1873
55	1813
56	1695
57	1562
58	1433
59	1356
60	1323
61	1318
62	1291
63	1281
64	1269
65	1267
66	1282
67	1298
68	1300
69	1286
70	1284
71	1288
72	1286
73	1283
74	1280
75	1298
76	1329
77	1404
78	1521
79	1693
80	1863
81	1898
82	1831
83	1798
84	1819
85	1901
86	1932
87	1849
88	1704
89	1572
90	1443
91	1345
92	1316
93	1319
94	1303
95	1278
96	1270
97	1264
98	1272
99	1281
100	1293
101	1306
102	1365
103	1284
104	1277
105	1287
106	1294
107	1293
108	1284
109	1286
110	1328
111	1356
112	1453
113	1603
114	1771
115	1914
116	1929
117	1856
118	1795
119	1802
120	1888
121	1976
122	1955
123	1847
124	1719
125	1580
126	1446
127	1362
128	1333
129	1309
130	1312
131	1294
132	1272
133	1268
134	1266
135	1264
136	1267
137	1279
138	1309
139	1304
140	1295
141	1284
142	1281
143	1293
144	1288
145	1288
146	1286
147	1274
148	1286
149	1305
150	1338
151	1394
152	1493
153	1635
154	1827
155	1970
156	2021
157	1936
158	1849
159	1805
160	1830
161	1920
162	2032
163	2055
164	1974
165	1865
166	1739
167	1593
168	1470
169	1372
170	1321
171	1304
172	1296
173	1309
174	1303
175	1277
176	1265
177	1257
178	1249
179	1255
180	1260
181	1263
182	1282
183	1311
184	1311
185	1301
186	1284
187	1273
188	1267
189	1276
190	1282
191	1284
192	1283
193	1271
194	1261
195	1271
196	1282
197	1302
198	1317
199	1358
200	1442
201	1548
202	1679
203	1856
204	2014
205	2121
206	2059
207	1958
208	1897
209	1826
210	1809
211	1857
212	1966
213	2089
214	2154
215	2117
216	2067
217	1957
218	1838
219	1753
220	1626
221	1520
222	1420
223	1357
224	1324
225	1310
226	1292
227	1297
228	1319
229	1326
230	1300
231	1272
232	1258
233	1249
234	1255
235	1252
236	1254
237	1261
238	1250
239	1258
240	1270
241	1283
242	1317
243	1333
244	1306
245	1294
246	1293
247	1274
248	1275
249	1258
250	1266
251	1274
252	1289
253	1284
254	1287
255	1283
256	1273
257	1273
258	1261
259	1260
260	1265
261	1270
262	1275
263	1289
264	1299
265	1317
266	1336
267	1368
268	1415
269	1495
270	1572
271	1650
272	1764
273	1917
274	2035
275	2162
276	2280
277	2320
278	2212
279	2071
280	2027
281	2012
282	1933
283	1846
284	1829
285	1828
286	1828
287	1856
288	1911
289	2007
290	2093
291	2194
292	2283
293	2291
294	2232
295	2194
296	2192
297	2160
298	2083
299	1991
300	1912
301	1896
302	1863
303	1792
304	1746
305	1688
306	1644
307	1589
308	1512
309	1452
310	1412
311	1362
312	1343
313	1324
314	1325
315	1312
316	1310
317	1305
318	1297
319	1296
320	1284
321	1280
322	1283
323	1285
324	1309
325	1327
326	1343
327	1356
328	1360
329	1352
330	1326
331	1305
332	1291
333	1272
334	1270
335	1267
336	1255
337	1254
338	1251
339	1245
340	1245
341	1244
342	1249
343	1246
344	1248
345	1250
346	1244
347	1247
348	1243
349	1253
350	1245
351	1250
352	1245
353	1249
354	1246
355	1253
356	1251
357	1255
358	1255
359	1255
360	1257
361	1249
362	1251
363	1251
364	1247
365	1252
366	1264
367	1253
368	1260
369	1253
370	1249
371	1258
372	1258
373	1260
374	1252
375	1252
376	1260
377	1248
378	1262
379	1263
380	1263
381	1264
382	1253
383	1259
384	1255
385	1251
386	1258
387	1248
388	1258
389	1262
390	1254
391	1249
392	1246
393	1246
394	1249
395	1246
396	1240
397	1251
398	1243
399	1241
400	1243
401	1240
402	1239
403	1246
404	1252
405	1244
406	1250
407	1283
408	1237
409	1247
410	1246
411	1249
412	1255
413	1257
414	1262
415	1259
416	1265
417	1281
418	1291
419	1309
420	1330
421	1341
422	1337
423	1333
424	1318
425	1302
426	1299
427	1284
428	1282
429	1278
430	1287
431	1285
432	1294
433	1303
434	1307
435	1312
436	1317
437	1339
438	1345
439	1382
440	1426
441	1484
442	1530
443	1582
444	1644
445	1694
446	1753
447	1797
448	1835
449	1882
450	1932
451	2008
452	2071
453	2112
454	2140
455	2178
456	2216
457	2211
458	2169
459	2086
460	1997
461	1909
462	1842
463	1804
464	1780
465	1785
466	1812
467	1841
468	1895
469	1929
470	1986
471	2060
472	2141
473	2160
474	2100
475	2006
476	1912
477	1798
478	1690
479	1594
480	1511
481	1444
482	1386
483	1339
484	1316
485	1302
486	1284
487	1274
488	1262
489	1259
490	1250
491	1247
492	1246
493	1252
494	1275
495	1266
496	1277
497	1275
498	1265
499	1261
500	1252
501	1243
502	1254
503	1257
504	1270
505	1282
506	1291
507	1303
508	1280
509	1267
510	1246
511	1237
512	1245
513	1236
514	1239
515	1237
516	1239
517	1234
518	1245
519	1263
520	1269
521	1288
522	1287
523	1273
524	1272
525	1279
526	1304
527	1337
528	1398
529	1484
530	1570
531	1654
532	1738
533	1830
534	1911
535	1960
536	1952
537	1883
538	1781
539	1721
540	1697
541	1722
542	1784
543	1864
544	1926
545	1926
546	1842
547	1710
548	1577
549	1473
550	1392
551	1335
552	1297
553	1277
554	1263
555	1250
556	1244
557	1251
558	1258
559	1259
560	1243
561	1244
562	1240
563	1239
564	1253
565	1262
566	1274
567	1264
568	1247
569	1240
570	1231
571	1228
572	1228
573	1234
574	1243
575	1258
576	1269
577	1268
578	1266
579	1271
580	1302
581	1343
582	1429
583	1521
584	1616
585	1723
586	1807
587	1849
588	1812
589	1737
590	1683
591	1690
592	1732
593	1803
594	1840
595	1785
596	1670
597	1521
598	1423
