CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\WithB\180\8_B0899.FIT
Average of Rows 236 through 262
Column	Value (ADU)
1	1848
2	1850
3	1782
4	1680
5	1552
6	1448
7	1390
8	1362
9	1340
10	1341
11	1346
12	1355
13	1397
14	1443
15	1489
16	1577
17	1703
18	1805
19	1839
20	1759
21	1674
22	1608
23	1570
24	1531
25	1536
26	1595
27	1721
28	1840
29	1858
30	1771
31	1662
32	1550
33	1454
34	1396
35	1352
36	1336
37	1337
38	1335
39	1337
40	1359
41	1406
42	1450
43	1499
44	1585
45	1690
46	1814
47	1871
48	1790
49	1698
50	1635
51	1578
52	1556
53	1537
54	1540
55	1598
56	1757
57	1881
58	1899
59	1820
60	1729
61	1603
62	1496
63	1413
64	1377
65	1338
66	1333
67	1327
68	1323
69	1333
70	1353
71	1391
72	1434
73	1473
74	1533
75	1646
76	1760
77	1883
78	1931
79	1843
80	1745
81	1669
82	1626
83	1586
84	1552
85	1528
86	1558
87	1642
88	1801
89	1946
90	1959
91	1889
92	1772
93	1656
94	1546
95	1457
96	1400
97	1353
98	1342
99	1328
100	1323
101	1323
102	1390
103	1340
104	1376
105	1422
106	1459
107	1496
108	1563
109	1661
110	1794
111	1897
112	1971
113	1954
114	1827
115	1721
116	1663
117	1638
118	1595
119	1562
120	1529
121	1531
122	1563
123	1693
124	1873
125	2021
126	2031
127	1949
128	1851
129	1727
130	1617
131	1521
132	1455
133	1394
134	1364
135	1340
136	1329
137	1321
138	1330
139	1317
140	1317
141	1333
142	1359
143	1410
144	1450
145	1476
146	1496
147	1557
148	1656
149	1776
150	1900
151	2005
152	2063
153	1984
154	1867
155	1754
156	1691
157	1661
158	1645
159	1599
160	1562
161	1535
162	1529
163	1540
164	1605
165	1754
166	1957
167	2088
168	2086
169	2040
170	1947
171	1848
172	1740
173	1641
174	1560
175	1485
176	1429
177	1378
178	1351
179	1337
180	1331
181	1326
182	1327
183	1319
184	1312
185	1313
186	1329
187	1323
188	1366
189	1412
190	1452
191	1456
192	1468
193	1497
194	1551
195	1649
196	1735
197	1831
198	1945
199	2053
200	2127
201	2114
202	1982
203	1877
204	1773
205	1693
206	1678
207	1683
208	1664
209	1625
210	1596
211	1573
212	1545
213	1509
214	1503
215	1533
216	1597
217	1732
218	1902
219	2115
220	2218
221	2211
222	2176
223	2093
224	2008
225	1929
226	1824
227	1739
228	1660
229	1592
230	1529
231	1478
232	1433
233	1395
234	1379
235	1352
236	1335
237	1328
238	1320
239	1316
240	1327
241	1322
242	1323
243	1304
244	1305
245	1306
246	1314
247	1317
248	1326
249	1345
250	1383
251	1435
252	1469
253	1477
254	1483
255	1467
256	1468
257	1499
258	1530
259	1584
260	1637
261	1738
262	1792
263	1853
264	1923
265	2027
266	2080
267	2165
268	2259
269	2309
270	2189
271	2044
272	1995
273	1937
274	1852
275	1767
276	1737
277	1717
278	1692
279	1708
280	1746
281	1735
282	1684
283	1651
284	1631
285	1629
286	1601
287	1585
288	1567
289	1545
290	1538
291	1518
292	1505
293	1502
294	1517
295	1525
296	1555
297	1608
298	1664
299	1730
300	1836
301	1961
302	2117
303	2262
