CCDOps Exported Profile Report
Image: C:\Users\George Brown\Desktop\AMJ-zeeman\WithB\180\10_1501B.FIT
Average of Rows 250 through 262
Column	Value (ADU)
1	6458
2	5492
3	4699
4	4882
5	5787
6	5915
7	5363
8	4296
9	3084
10	2430
11	2148
12	1862
13	1736
14	1658
15	1669
16	1832
17	1883
18	1878
19	1878
20	1877
21	1838
22	1803
23	1955
24	2504
25	3494
26	5104
27	6281
28	5719
29	4731
30	4486
31	5164
32	6279
33	6089
34	5229
35	4028
36	2862
37	2375
38	2124
39	1867
40	1760
41	1669
42	1664
43	1777
44	2023
45	1951
46	1896
47	1876
48	1868
49	1814
50	1784
51	1962
52	2521
53	3493
54	5096
55	6533
56	6299
57	5274
58	4606
59	4815
60	5952
61	6330
62	6229
63	5277
64	4086
65	2936
66	2400
67	2202
68	1900
69	1776
70	1684
71	1642
72	1678
73	1866
74	1954
75	1968
76	1945
77	1940
78	1910
79	1863
80	1796
81	1829
82	2158
83	2865
84	3980
85	5689
86	7028
87	6690
88	5586
89	4742
90	4818
91	5589
92	6920
93	7052
94	6322
95	5370
96	4116
97	2985
98	2449
99	2317
100	2002
101	1808
102	1735
103	1652
104	1637
105	1658
106	1904
107	2052
108	2046
109	1957
110	1982
111	1976
112	1940
113	1873
114	1794
115	1848
116	2148
117	2766
118	3658
119	5236
120	6931
121	7011
122	6868
123	5683
124	4873
125	4924
126	5478
127	7021
128	7439
129	7315
130	6437
131	5493
132	4365
133	3186
134	2542
135	2461
136	2226
137	1933
138	1812
139	1762
140	1672
141	1641
142	1658
143	1773
144	2128
145	2118
146	2046
147	1985
148	2019
149	2015
150	2007
151	1957
152	1887
153	1825
154	1860
155	2103
156	2569
157	3280
158	4324
159	6000
160	7527
161	7660
162	7545
163	6492
164	5386
165	4918
166	5180
167	5647
168	7213
169	8067
170	8220
171	7464
172	6742
173	5842
174	4759
175	3621
176	2789
177	2423
178	2452
179	2297
180	1973
181	1831
182	1791
183	1744
184	1668
185	1642
186	1633
187	1670
188	1843
189	2263
190	2339
191	2176
192	1970
193	2007
194	2051
195	2028
196	2022
197	1993
198	1960
199	1838
200	1746
201	1763
202	1872
203	2168
204	2589
205	3185
206	3887
207	5163
208	6699
209	7967
210	9298
211	8774
212	7948
213	6837
214	5779
215	5169
216	4992
217	5373
218	5699
219	6793
220	8469
221	8825
222	8897
223	8471
224	7627
225	7048
226	6318
227	5515
228	4528
229	3611
230	2882
231	2493
232	2433
233	2605
234	2572
235	2237
236	1988
237	1866
238	1871
239	1848
240	1823
241	1744
242	1682
243	1656
244	1651
245	1645
246	1671
247	1774
248	2101
249	2475
250	2551
251	2347
252	2029
253	1914
254	1957
255	2058
256	2100
257	2090
258	2078
259	2081
260	2074
261	2071
262	2029
263	1955
264	1876
265	1816
266	1776
267	1786
268	1858
269	1994
270	2205
271	2485
272	2790
273	3193
