CCDOps Exported Profile Report
Image: 
Average of Rows 250 through 262
Column	Value (ADU)
1	5814
2	6295
3	6170
4	5645
5	4935
6	4739
7	4111
8	3131
9	2841
10	2593
11	2213
12	2032
13	2019
14	2097
15	2330
16	2464
17	2434
18	2224
19	2162
20	2148
21	2207
22	2569
23	3286
24	4396
25	4523
26	4506
27	5197
28	6523
29	6431
30	5705
31	5005
32	4946
33	4799
34	4005
35	3056
36	2919
37	2633
38	2266
39	2097
40	2054
41	2119
42	2242
43	2655
44	2647
45	2340
46	2217
47	2163
48	2155
49	2232
50	2660
51	3333
52	4509
53	4645
54	4653
55	4994
56	6416
57	6486
58	6374
59	5686
60	5073
61	5101
62	4977
63	4087
64	3128
65	2947
66	2777
67	2362
68	2138
69	2037
70	2074
71	2167
72	2377
73	2788
74	2725
75	2403
76	2262
77	2204
78	2160
79	2177
80	2415
81	2929
82	3807
83	4963
84	4999
85	4773
86	5083
87	6495
88	7506
89	6989
90	6257
91	5546
92	5282
93	5366
94	5132
95	4148
96	3215
97	2982
98	2976
99	2517
100	2227
101	2085
102	2045
103	2115
104	2185
105	2408
106	2884
107	2872
108	2561
109	2321
110	2306
111	2203
112	2194
113	2232
114	2426
115	2969
116	3684
117	4949
118	5329
119	5205
120	4851
121	5435
122	6983
123	7962
124	7614
125	6733
126	6187
127	5411
128	5597
129	5668
130	5360
131	4361
132	3383
133	2976
134	2960
135	2869
136	2446
137	2186
138	2091
139	2063
140	2105
141	2167
142	2280
143	2677
144	3043
145	2954
146	2639
147	2371
148	2350
149	2283
150	2220
151	2217
152	2245
153	2428
154	2869
155	3446
156	4397
157	5637
158	5663
159	5455
160	4956
161	5317
162	6602
163	8303
164	8351
165	8026
166	7161
167	6707
168	5877
169	5614
170	6028
171	6029
172	5846
173	4835
174	3858
175	3096
176	3080
177	3104
178	3034
179	2602
180	2282
181	2153
182	2099
183	2089
184	2114
185	2199
186	2267
187	2377
188	2813
189	3247
190	3234
191	2951
192	2610
193	2387
194	2381
195	2360
196	2268
197	2228
198	2234
199	2247
200	2318
201	2602
202	3021
203	3548
204	4230
205	5579
206	6296
207	6228
208	5910
209	5303
210	5081
211	5723
212	6973
213	8513
214	9365
215	9138
216	8662
217	7651
218	7245
219	6890
220	6148
221	5662
222	6138
223	6553
224	6497
225	6433
226	5686
227	4762
228	3906
229	3230
230	2952
231	3268
232	3550
233	3472
234	2995
235	2624
236	2394
237	2252
238	2197
239	2158
240	2137
241	2127
242	2168
243	2243
244	2273
245	2293
246	2326
247	2554
248	3017
249	3425
250	3473
251	3332
252	3101
253	2827
254	2570
255	2402
256	2384
257	2475
258	2473
259	2410
260	2324
261	2314
262	2323
263	2323
264	2329
265	2332
266	2374
267	2506
268	2802
269	3111
270	3424
271	3733
272	4098
273	4796
274	5990
275	6902
276	6938
277	6738
278	6640
279	6468
280	5951
281	5420
282	5155
283	5140
284	5395
285	6260
286	7223
287	8115
288	9117
289	10359
290	10787
291	10710
292	9954
293	9449
294	9284
295	8770
296	7953
297	7540
298	7601
299	7660
300	7514
301	6976
302	6316
303	5809
304	5663
305	5935
306	6506
307	7067
308	7266
309	7201
310	6966
311	6951
312	7009
313	7017
314	6905
315	6349
316	5757
317	5245
318	4866
319	4490
320	4158
321	3767
322	3431
323	3131
324	2955
325	2847
326	2866
327	2963
328	3182
329	3416
330	3721
331	3959
332	4076
333	4084
334	3983
335	3775
336	3545
337	3294
338	3037
339	2843
340	2710
341	2615
342	2519
343	2473
344	2415
345	2392
346	2358
347	2338
348	2305
349	2304
350	2278
351	2258
352	2256
353	2237
354	2226
355	2195
356	2180
357	2207
358	2194
359	2181
360	2174
361	2172
362	2159
363	2158
364	2173
365	2173
366	2151
367	2157
368	2152
369	2149
370	2146
371	2168
372	2149
373	2152
374	2147
375	2145
376	2147
377	2134
378	2148
379	2139
380	2158
381	2133
382	2151
383	2152
384	2131
385	2155
386	2158
387	2183
388	2174
389	2183
390	2191
391	2197
392	2184
393	2174
394	2189
395	2193
396	2196
397	2201
398	2204
399	2206
400	2204
401	2200
402	2211
403	2227
404	2234
405	2240
406	2245
407	2270
408	2290
409	2311
410	2335
411	2367
412	2402
413	2453
414	2503
415	2576
416	2695
417	2811
418	3005
419	3233
420	3497
421	3753
422	4019
423	4158
424	4158
425	4005
426	3761
427	3431
428	3120
429	2906
430	2812
431	2769
432	2884
433	3075
434	3383
435	3719
436	4068
437	4377
438	4780
439	5201
440	5745
441	6350
442	6798
443	6972
444	6987
445	6910
446	6928
447	7139
448	7172
449	6995
450	6377
451	5785
452	5496
453	5668
454	6146
455	6817
456	7316
457	7436
458	7320
459	7317
460	7866
461	8561
462	9008
463	9222
464	9729
465	10483
466	10577
467	10115
468	9015
469	7948
470	6962
471	6065
472	5322
473	4982
474	4964
475	5286
476	5847
477	6324
478	6483
479	6671
480	6834
481	6793
482	5861
483	4788
484	4078
485	3690
486	3362
487	3048
488	2692
489	2441
490	2308
491	2260
492	2251
493	2231
494	2221
495	2226
496	2249
497	2327
498	2394
499	2399
500	2335
501	2354
502	2511
503	2741
504	3009
505	3285
506	3334
507	3287
508	2932
509	2523
510	2288
511	2230
512	2241
513	2165
514	2105
515	2047
516	2045
517	2055
518	2093
519	2143
520	2231
521	2440
522	2837
523	3281
524	3393
525	3040
526	2863
527	3112
528	3744
529	4567
530	5396
531	5904
532	6075
533	6063
534	5593
535	5410
536	5780
537	6363
538	6723
539	7238
540	7837
541	8457
542	8585
543	7692
544	6395
545	5222
546	4741
547	4990
548	5461
549	5803
550	5800
551	5068
552	4062
553	3330
554	2846
555	2463
556	2245
557	2147
558	2112
559	2103
560	2150
561	2210
562	2204
563	2218
564	2402
565	2709
566	2952
567	2903
568	2563
569	2225
570	2094
571	2066
572	2004
573	1961
574	1984
575	2037
576	2147
577	2440
578	2869
579	2893
580	2864
581	2942
582	3570
583	4510
584	5274
585	5342
586	5316
587	5075
588	5378
589	5901
590	6541
591	7316
592	7375
593	7301
594	5984
595	4847
596	4639
597	5066
598	5122
599	5046
600	4103
601	3243
602	2628
603	2290
604	2126
605	2057
606	2086
607	2140
608	2151
609	2212
610	2451
611	2742
612	2740
613	2444
614	2141
615	2044
616	1979
617	1952
618	1963
619	2048
620	2301
621	2693
622	2803
623	2786
624	3168
625	4024
626	4839
627	4980
628	4945
629	5008
630	5436
631	6104
632	6817
633	6993
634	6106
635	4890
636	4426
637	4717
638	4861
639	4354
640	3384
641	2674
642	2248
643	2076
644	2037
645	2067
646	2085
647	2159
648	2390
649	2583
650	2558
651	2241
652	2020
653	1947
654	1898
655	1920
656	2061
657	2378
658	2652
659	2681
660	3014
661	3801
662	4589
663	4760
664	4736
665	4985
666	5615
667	6381
668	6543
669	5639
670	4578
671	4340
672	4411
673	4362
674	3439
675	2652
676	2186
677	2021
678	1982
679	2032
680	2055
681	2223
682	2450
683	2442
684	2168
685	1981
686	1898
687	1885
688	1938
689	2213
690	2527
691	2647
692	2960
693	3758
694	4443
695	4580
696	4648
697	5082
698	5827
699	6168
700	5453
701	4476
702	4242
703	4362
704	3895
705	3002
706	2334
707	2029
708	1976
709	1984
710	2028
711	2207
712	2392
713	2331
714	2098
715	1920
716	1871
717	1890
718	2091
719	2410
720	2557
721	2900
722	3647
723	4280
724	4396
725	4576
726	5179
727	5782
728	5608
729	4610
730	4132
731	4184
732	3791
733	2939
734	2267
735	2021
736	1966
737	1983
738	2095
739	2292
740	2318
741	2137
742	1941
743	1862
744	1899
745	2073
746	2388
747	2559
748	3031
749	3798
750	4220
751	4279
752	4678
753	5388
754	5446
755	4632
756	4025
757	4002
758	3665
759	2818
760	2192
761	1966
762	1961
763	2026
764	2235
765	2425
